case,solver,h,status,error_message,steps,runtime_sec,total_newton_iterations,total_linear_solves,total_jacobian_assemblies,total_residual_eval_sec,total_jacobian_eval_sec,total_linear_solve_sec,avg_jacobian_eval_sec,avg_linear_solve_sec,pattern_nnz,pattern_density,colors,avg_jvp_dispatches,avg_seed_vectors,max_linear_residual_norm,orientation_error_vs_dense_rad,omega_error_vs_dense,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_pivot_acceleration_constraint_norm,max_stage_axis_acceleration_constraint_norm,max_quaternion_unit_error
double_revolute_smooth,dense_jacfwd_csr,0.02,ok,,3,1.01589351e-01,12,9,9,1.0285039024893194e-02,4.0872302895877510e-02,1.2633801146876067e-02,4.5413669884308344e-03,1.4037556829862297e-03,582,3.0560806553245116e-02,11,0.0000000000000000e+00,0.0000000000000000e+00,1.8472096161144240e-14,0.0000000000000000e+00,0.0000000000000000e+00,2.1257310251576976e-14,5.7897102649854814e-13,8.2871006764575876e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_smooth,sequential_colored_jvp_csr,0.02,ok,,3,9.05622930e-02,12,9,9,4.9122418859042227e-03,6.5391140931751579e-02,1.9564729882404208e-03,7.2656823257501758e-03,2.1738588758226897e-04,582,3.0560806553245116e-02,11,1.1000000000000000e+01,1.1000000000000000e+01,1.8481627838958534e-14,8.2994184803992060e-54,1.1102230246251565e-16,2.1257310251576976e-14,5.7899988349169216e-13,8.2955677183371045e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_smooth,batched_colored_jvp_csr,0.02,ok,,3,3.81219130e-02,12,9,9,4.7527569113299251e-03,5.6500540231354535e-03,1.9374901312403381e-03,6.2778378034838371e-04,2.1527668124892644e-04,582,3.0560806553245116e-02,11,1.0000000000000000e+00,1.1000000000000000e+01,1.8481627838958534e-14,8.2994184803992060e-54,1.1102230246251565e-16,2.1257310251576976e-14,5.7899988349169216e-13,8.2955677183371045e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_sharp,dense_jacfwd_csr,0.02,ok,,3,8.81619770e-02,13,10,10,2.3525854863692075e-02,2.7850240061525255e-02,2.8495719889178872e-03,2.7850240061525256e-03,2.8495719889178874e-04,582,3.0560806553245116e-02,11,0.0000000000000000e+00,0.0000000000000000e+00,1.6808332533945420e-14,0.0000000000000000e+00,0.0000000000000000e+00,3.1354367043783689e-14,1.0538297283127725e-11,1.1933513528566256e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_sharp,sequential_colored_jvp_csr,0.02,ok,,3,9.57811390e-02,13,10,10,4.6872520470060408e-03,7.0041936996858567e-02,2.1756280330009758e-03,7.0041936996858567e-03,2.1756280330009758e-04,582,3.0560806553245116e-02,11,1.1000000000000000e+01,1.1000000000000000e+01,1.6535771273813367e-14,1.7496297977277327e-65,2.7755575615628914e-17,3.1354367043783689e-14,1.0538297283127725e-11,1.1933513528566256e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_sharp,batched_colored_jvp_csr,0.02,ok,,3,3.53408200e-02,13,10,10,4.4485960388556123e-03,5.1135449903085828e-03,1.6949220444075763e-03,5.1135449903085830e-04,1.6949220444075763e-04,582,3.0560806553245116e-02,11,1.0000000000000000e+00,1.1000000000000000e+01,1.6808332533945420e-14,0.0000000000000000e+00,0.0000000000000000e+00,3.1354367043783689e-14,1.0538297283127725e-11,1.1933513528566256e-13,0.0000000000000000e+00,0.0000000000000000e+00
