case,method,h,steps,max_energy_relative_change_from_initial,final_energy_change,final_energy_relative_change,max_step_energy_increase,max_friction_power,min_friction_power,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_constraint_norm,max_stage_force_residual_norm,max_stage_torque_residual_norm,max_lambda_norm,total_newton_iterations,runtime_sec
smooth_eps_0p50,reduced_rkmk4,0.1,50,6.4673730070074806e-02,-1.4013140504525055e+00,-6.4673730070074806e-02,0.0000000000000000e+00,-4.6394276581795480e-03,-5.7836977167857473e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,1.81512450e-02
smooth_eps_0p50,reduced_rkmk4,0.05,100,6.4380343422410585e-02,-1.3949571133910190e+00,-6.4380343422410585e-02,0.0000000000000000e+00,-4.6812881816988960e-03,-5.7841358914434138e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,3.69721900e-02
smooth_eps_0p50,absolute_gauss_lie4_endpoint,0.1,50,6.4365931360398254e-02,-1.3946448409278105e+00,-6.4365931360398254e-02,0.0000000000000000e+00,-4.6795874804242609e-03,-5.7841361472194608e-01,2.3055512673781017e-16,4.0412728104402651e-16,1.2719202621569003e-16,7.1054273576010019e-15,6.9608217230756833e-15,5.6938573169768219e+01,200,6.25107909e+00
smooth_eps_0p50,absolute_gauss_lie4_endpoint,0.05,100,6.4371075061879876e-02,-1.3947562917618619e+00,-6.4371075061879876e-02,0.0000000000000000e+00,-4.6835653905574282e-03,-5.7841493473397521e-01,1.0621830692405972e-14,3.1701516435581169e-13,2.7001482176858957e-15,2.2741703939501708e-13,8.9527888641919067e-12,5.7038870403003585e+01,394,1.17578569e+01
sharp_eps_0p05,reduced_rkmk4,0.1,50,6.6873091596924797e-02,-1.4489685804488452e+00,-6.6873091596924797e-02,0.0000000000000000e+00,-1.4522279485303475e-02,-5.8337481865815544e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,1.86845140e-02
sharp_eps_0p05,reduced_rkmk4,0.05,100,6.6588384976483103e-02,-1.4427997173409111e+00,-6.6588384976483103e-02,0.0000000000000000e+00,-1.4756383459846695e-02,-5.8343867683245498e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,3.84936710e-02
sharp_eps_0p05,absolute_gauss_lie4_endpoint,0.1,50,6.6572430695890528e-02,-1.4424540289519001e+00,-6.6572430695890528e-02,0.0000000000000000e+00,-1.4882657624362604e-02,-5.8344924914321195e-01,2.2516683988987807e-16,5.1371251749364736e-16,2.2377260456559048e-16,7.1054273576010019e-15,6.3069469073705272e-15,5.6940485444025434e+01,200,6.79504810e+00
sharp_eps_0p05,absolute_gauss_lie4_endpoint,0.05,100,6.6576809522683855e-02,-1.4425489069109005e+00,-6.6576809522683855e-02,0.0000000000000000e+00,-1.4689519107682906e-02,-5.8343343520926816e-01,6.1344845538438543e-15,1.7660599481140263e-13,1.5423711185402538e-15,2.3965845206926594e-13,9.5503100352080654e-12,5.7039741248408994e+01,391,1.28771223e+01
