case,solver,h,status,error_message,steps,runtime_sec,pattern_build_sec,total_newton_iterations,total_linear_solves,total_jacobian_assemblies,total_residual_eval_sec,total_jacobian_eval_sec,total_linear_solve_sec,avg_jacobian_eval_sec,avg_linear_solve_sec,pattern_nnz,pattern_density,colors,pattern_missing_vs_dense,pattern_extra_vs_dense,orientation_error_vs_dense_rad,omega_error_vs_dense,max_linear_residual_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_pivot_acceleration_constraint_norm,max_stage_axis_acceleration_constraint_norm,max_quaternion_unit_error
triple_revolute_smooth,dense_jacfwd_csr,0.02,ok,,3,7.81158920e-02,0.00000000e+00,14,11,11,8.4958629449829459e-03,3.1965403002686799e-02,4.0226960554718971e-03,2.9059457275169816e-03,3.6569964140653610e-04,930,2.1704123783518870e-02,11,0,0,0.0000000000000000e+00,0.0000000000000000e+00,9.3904061873107177e-14,3.3510762927353795e-14,1.0890915375555076e-12,2.3372626062159981e-12,0.0000000000000000e+00,0.0000000000000000e+00
triple_revolute_smooth,cached_jvp_pruned,0.02,ok,,3,5.53508560e-02,5.24790188e+00,14,11,11,7.1119740605354309e-03,2.6997343986295164e-02,2.5295589584857225e-03,2.4543039987541056e-03,2.2995990531688386e-04,930,2.1704123783518870e-02,11,0,0,0.0000000000000000e+00,0.0000000000000000e+00,9.3904061873107177e-14,3.3510762927353795e-14,1.0890724288038734e-12,2.3372626062159981e-12,0.0000000000000000e+00,0.0000000000000000e+00
triple_revolute_sharp,dense_jacfwd_csr,0.02,ok,,3,9.68612350e-02,0.00000000e+00,14,11,11,1.7808186938054860e-02,4.9225053051486611e-02,4.0103469509631395e-03,4.4750048228624191e-03,3.6457699554210359e-04,930,2.1704123783518870e-02,11,0,0,0.0000000000000000e+00,0.0000000000000000e+00,1.2170728569667436e-13,5.0678222909360188e-14,9.9971616689656269e-12,2.3930866953265680e-13,0.0000000000000000e+00,0.0000000000000000e+00
triple_revolute_sharp,cached_jvp_pruned,0.02,ok,,3,5.80728990e-02,5.72033460e-02,14,11,11,6.7415221128612757e-03,2.8976572968531400e-02,2.8646980063058436e-03,2.6342339062301271e-03,2.6042709148234940e-04,930,2.1704123783518870e-02,11,0,0,2.1878499842617761e-52,1.3877787807814457e-17,1.0394448570426705e-13,5.0678222909360188e-14,9.9971178401751313e-12,2.3912729792709994e-13,0.0000000000000000e+00,0.0000000000000000e+00
