case,solver,pattern_source,h,status,error_message,steps,runtime_sec,pattern_build_sec,total_newton_iterations,total_linear_solves,total_jacobian_assemblies,total_residual_eval_sec,total_jacobian_eval_sec,total_linear_solve_sec,avg_jacobian_eval_sec,avg_linear_solve_sec,pattern_nnz,pattern_density,colors,pattern_missing_vs_dense,pattern_extra_vs_dense,orientation_error_vs_dense_rad,omega_error_vs_dense,max_linear_residual_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_pivot_acceleration_constraint_norm,max_stage_axis_acceleration_constraint_norm,max_quaternion_unit_error
triple_revolute_smooth,dense_jacfwd_csr,dense,0.02,ok,,3,1.04092128e-01,0.00000000e+00,14,11,11,2.2089721984229982e-02,4.4168397958856076e-02,3.5886109690181911e-03,4.0153089053505528e-03,3.2623736081983554e-04,930,2.1704123783518870e-02,11,0,0,0.0000000000000000e+00,0.0000000000000000e+00,9.3904061873107177e-14,3.3510762927353795e-14,1.0890915375555076e-12,2.3372626062159981e-12,0.0000000000000000e+00,0.0000000000000000e+00
triple_revolute_smooth,generated_block_superset,generated_block_superset,0.02,ok,,3,4.70057040e-02,1.99873000e-03,14,11,11,5.4245211067609489e-03,2.4430701043456793e-02,2.4749358417466283e-03,2.2209728221324358e-03,2.2499416743151167e-04,2691,6.2801932367149760e-02,32,0,1761,0.0000000000000000e+00,0.0000000000000000e+00,9.3904061873107177e-14,3.3510762927353795e-14,1.0890915375555076e-12,2.3372626062159981e-12,0.0000000000000000e+00,0.0000000000000000e+00
triple_revolute_smooth,generated_block_jvp_pruned,generated_block_jvp_pruned,0.02,ok,,3,4.86592930e-02,4.84249378e+00,14,11,11,5.4103940492495894e-03,2.6511610951274633e-02,2.4233448784798384e-03,2.4101464501158757e-03,2.2030407986180350e-04,930,2.1704123783518870e-02,11,0,0,0.0000000000000000e+00,0.0000000000000000e+00,9.3904061873107177e-14,3.3510762927353795e-14,1.0890724288038734e-12,2.3372626062159981e-12,0.0000000000000000e+00,0.0000000000000000e+00
triple_revolute_sharp,dense_jacfwd_csr,dense,0.02,ok,,3,8.79206590e-02,0.00000000e+00,14,11,11,1.5551355958450586e-02,4.1922556934878230e-02,6.0595799004659057e-03,3.8111415395343847e-03,5.5087090004235506e-04,930,2.1704123783518870e-02,11,0,0,0.0000000000000000e+00,0.0000000000000000e+00,1.2170728569667436e-13,5.0678222909360188e-14,9.9971616689656269e-12,2.3930866953265680e-13,0.0000000000000000e+00,0.0000000000000000e+00
triple_revolute_sharp,generated_block_superset,generated_block_superset,0.02,ok,,3,4.65541720e-02,7.97835004e-04,14,11,11,5.4072739440016448e-03,2.3620778112672269e-02,2.4163280031643808e-03,2.1473434647883882e-03,2.1966618210585281e-04,2691,6.2801932367149760e-02,32,0,1761,0.0000000000000000e+00,0.0000000000000000e+00,1.2170728569667436e-13,5.0678222909360188e-14,9.9971616689656269e-12,2.3930866953265680e-13,0.0000000000000000e+00,0.0000000000000000e+00
triple_revolute_sharp,generated_block_jvp_pruned,generated_block_jvp_pruned,0.02,ok,,3,4.94296200e-02,5.12085410e-02,14,11,11,5.0170519389212132e-03,2.3503441014327109e-02,2.6417599292472005e-03,2.1366764558479190e-03,2.4015999356792733e-04,930,2.1704123783518870e-02,11,0,0,2.1878499842617761e-52,1.3877787807814457e-17,1.0394448570426705e-13,5.0678222909360188e-14,9.9971178401751313e-12,2.3912729792709994e-13,0.0000000000000000e+00,0.0000000000000000e+00
