case,h,t_final,final_energy_relative_change,max_step_energy_increase,max_friction_power,min_friction_power,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_quaternion_unit_error,total_newton_iterations
smooth_eps_0p50,0.05,5,-6.4371075061879876e-02,0.0000000000000000e+00,-4.6835653905573389e-03,-5.7841493473397587e-01,1.0702572991034433e-14,3.1719083957209911e-13,1.1102230246251565e-16,394
sharp_eps_0p05,0.05,5,-6.6576809522683522e-02,0.0000000000000000e+00,-1.4689519107682620e-02,-5.8343343520926816e-01,6.3119376740880541e-15,1.7685174996603483e-13,2.2204460492503131e-16,391
