case,method,h,t_final,runtime_sec,steps,total_newton_iterations,final_energy_relative_change,max_step_energy_increase,max_stage_friction_power,min_stage_friction_power,max_lambda_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_torque_residual_norm
lambda_smooth,lambda_gauss4_endpoint_jax,0.05,5,8.09205070e-01,100,400,-4.2067843158640761e-02,0.0000000000000000e+00,-3.1881773213593523e-03,-3.9989675672500202e-01,5.7139752995391341e+01,2.6184557666721351e-16,1.0370338861126152e-15,1.0129613499528560e-14
lambda_smooth,lambda_gauss6_endpoint_jax,0.05,5,1.27889985e+00,100,400,-4.2068124745842844e-02,0.0000000000000000e+00,-3.2771436428436374e-03,-3.9990231608811050e-01,5.7161667611019929e+01,2.4980018054066022e-16,1.2462222543165673e-15,9.4459043183172137e-15
lambda_sharp,lambda_gauss4_endpoint_jax,0.05,5,9.55104862e-01,100,400,-4.3690413218837390e-02,0.0000000000000000e+00,-9.8189736944614536e-03,-4.0446437934703694e-01,5.7140241562532388e+01,4.1540741810552243e-16,8.7419048378076915e-16,1.3072671703271977e-14
lambda_sharp,lambda_gauss6_endpoint_jax,0.05,5,1.08288865e+00,100,400,-4.3692399922684685e-02,0.0000000000000000e+00,-1.0003239585422713e-02,-4.0451377884004652e-01,5.7161986579156938e+01,3.1888728582940721e-16,1.2419650930922886e-15,1.0787143849065921e-14
