method,h,steps,max_energy_relative_error,max_body_momentum_norm_relative_error,max_spatial_momentum_vector_error,max_orthogonality_fro,total_newton_iterations,runtime_sec
rkmk4,0.2,500,1.1156450804440598e-03,3.1220867140769291e-04,1.3240080256885077e-03,6.1926438809957646e-15,0,1.12992450e-01
rkmk4,0.1,1000,3.5732275483869206e-05,1.0136033706736374e-05,4.9269458125808169e-05,8.7660187306301964e-15,0,1.97440856e-01
rkmk4,0.05,2000,1.1485343547889053e-06,3.3451533139501774e-07,2.2507959547989698e-06,1.2434769215650106e-14,0,4.28542252e-01
lie_midpoint,0.2,500,8.7029732297081257e-12,6.0060072065614052e-12,4.4917709209545936e-02,3.3707871528820649e-15,1899,3.87723434e-01
lie_midpoint,0.1,1000,3.1900548155581051e-14,1.5041561949255141e-14,1.1271511960194876e-02,5.8374603851451566e-15,3000,5.13069950e-01
lie_midpoint,0.05,2000,8.0590858498310021e-15,4.8663876894648985e-15,2.8171085935399525e-03,9.2343266100870202e-15,6000,1.17365668e+00
lie_midpoint_yoshida4,0.2,500,5.3727238998873352e-15,2.8755927255928946e-15,6.0591264100966543e-03,7.6679498590245549e-15,6000,1.20663845e+00
lie_midpoint_yoshida4,0.1,1000,1.6195236708101016e-11,8.0029957547654559e-12,4.1920139903947265e-04,1.3576663067938076e-14,9000,1.83111083e+00
lie_midpoint_yoshida4,0.05,2000,2.0147714624577507e-14,1.1059972021511132e-14,2.6915750443395961e-05,1.5056177965744966e-14,18000,3.55173590e+00
