case,solver,h,status,error_message,steps,runtime_sec,total_newton_iterations,total_linear_solves,total_jacobian_assemblies,total_residual_eval_sec,total_jacobian_eval_sec,total_linear_solve_sec,avg_jacobian_eval_sec,avg_linear_solve_sec,pattern_nnz,pattern_density,colors,avg_colored_jvp_calls,max_linear_residual_norm,max_pattern_missing_abs,max_colored_dense_diff_norm,max_colored_dense_relative_error,orientation_error_vs_dense_rad,omega_error_vs_dense,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_pivot_acceleration_constraint_norm,max_stage_axis_acceleration_constraint_norm,max_quaternion_unit_error
double_revolute_smooth,dense_jacfwd_csr,0.02,ok,,3,9.27672990e-02,12,9,9,8.5193150443956256e-03,3.8408358988817781e-02,1.9647135923150927e-02,4.2675954432019759e-03,2.1830151025723252e-03,582,3.0560806553245116e-02,11,0.0000000000000000e+00,1.8472096161144240e-14,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1257310251576976e-14,5.7897102649854814e-13,8.2871006764575876e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_smooth,colored_jvp_csr,0.02,ok,,3,4.28419229e-01,12,9,9,1.9445724959950894e-02,2.0796440803678706e-01,8.7822849163785577e-03,2.3107156448531896e-02,9.7580943515317305e-04,582,3.0560806553245116e-02,11,1.1000000000000000e+01,1.8481627838958534e-14,1.5777152473028564e-16,1.7569966157487655e-16,1.9323290068803218e-18,8.2994184803992060e-54,1.1102230246251565e-16,2.1257310251576976e-14,5.7899988349169216e-13,8.2955677183371045e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_sharp,dense_jacfwd_csr,0.02,ok,,3,6.23105110e-02,13,10,10,9.2812540824525058e-03,1.9842242996674031e-02,2.6348119718022645e-03,1.9842242996674030e-03,2.6348119718022645e-04,582,3.0560806553245116e-02,11,0.0000000000000000e+00,1.6808332533945420e-14,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1354367043783689e-14,1.0538297283127725e-11,1.1933513528566256e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_sharp,colored_jvp_csr,0.02,ok,,3,4.32214859e-01,13,10,10,1.0300927911885083e-02,2.0539147499948740e-01,3.9937740075401962e-03,2.0539147499948739e-02,3.9937740075401962e-04,582,3.0560806553245116e-02,11,1.1000000000000000e+01,1.6535771273813367e-14,2.3071050465189315e-16,9.0902794138519739e-15,1.0034249549601851e-16,1.7496297977277327e-65,2.7755575615628914e-17,3.1354367043783689e-14,1.0538297283127725e-11,1.1933513528566256e-13,0.0000000000000000e+00,0.0000000000000000e+00
