example,method,h,t_end,reference_h,reference_policy,steps,pos_traj_linf,vel_traj_linf,pos_final_linf,vel_final_linf,max_stage_residual_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_acceleration_constraint_norm,max_quaternion_unit_error,total_newton_iterations,runtime_sec,source_policy_external_superiority_allowed,proof_gap_closed,position_order,velocity_order
double_pendulum,local_Gauss6_FullVA_double_only_candidate,0.1,0.1,0.0125,local_fullva_h_0.0125_final_state,1,1.2886489653141098e-09,9.737665430942233e-10,1.2886489653141098e-09,9.737665430942233e-10,1.0647544004243382e-13,5.4964025434688647e-11,1.0806290624609243e-09,3.3384266718623735e-15,0.0,4,0.8582380549923982,False,False,6.01071161969125,6.009715656945229
double_pendulum,local_Gauss6_FullVA_double_only_candidate,0.05,0.1,0.0125,local_fullva_h_0.0125_final_state,2,2.0097701280974434e-11,1.522003530152194e-11,2.0097701280974434e-11,1.522003530152194e-11,1.0546105465463923e-13,8.520918585454155e-13,1.649707260498862e-11,3.2613731352574387e-15,0.0,8,0.9769055159995332,False,False,6.01071161969125,6.009715656945229
double_pendulum,local_Gauss6_FullVA_double_only_candidate,0.025,0.1,0.0125,local_fullva_h_0.0125_final_state,4,3.099742684753437e-13,2.3455543063377604e-13,3.099742684753437e-13,2.3455543063377604e-13,1.363229184142207e-13,1.3539651377832383e-14,2.561137512973785e-13,5.107981647787455e-15,0.0,16,2.646971622016281,False,False,6.01071161969125,6.009715656945229
