example,method,h,t_end,steps,position_l2_error,velocity_l2_error,orientation_error_rad,omega_l2_error,max_stage_residual_norm,total_newton_iterations,runtime_sec,source_policy_external_superiority_allowed,proof_gap_closed,position_order,velocity_order,orientation_order,omega_order
single_pendulum,local_Gauss6_FullVA_single_only_candidate,0.1,0.1,1,1.3856111477270567e-10,3.5925301378506096e-09,9.631916483920484e-11,1.1105316666260023e-09,1.363157165783273e-13,3,0.0799908330081962,False,False,6.013317461143006,6.006882393965576,6.012040224786884,6.005213069649138
single_pendulum,local_Gauss6_FullVA_single_only_candidate,0.05,0.1,2,2.1224165009440366e-12,5.5704462367820415e-11,1.4830175289935897e-12,1.7250756378928145e-11,3.671464343462017e-12,4,0.0722110330243595,False,False,6.013317461143006,6.006882393965576,6.012040224786884,6.005213069649138
single_pendulum,local_Gauss6_FullVA_single_only_candidate,0.025,0.1,4,3.320958971901867e-14,8.687540817956342e-13,2.312617579667923e-14,2.691735723203692e-13,2.2198873980185934e-13,8,0.1374974719947204,False,False,6.013317461143006,6.006882393965576,6.012040224786884,6.005213069649138
