method,h,steps,max_energy_relative_error,max_constraint_norm,max_velocity_constraint_norm,max_dae_force_residual_norm,max_dae_torque_residual_norm,max_orthogonality_fro,total_newton_iterations,runtime_sec
rkmk4,0.1,1000,8.5262682935234001e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.4463706495734950e-14,6.6345767876772989e-15,0,6.34358568e-01
rkmk4,0.05,2000,2.7318206775741764e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.3770691337543026e-14,1.5973516414809918e-14,0,1.42543535e+00
gauss_lie4,0.1,1000,3.6849680691647115e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0273397032451602e-13,9.1814340360934810e-15,3988,1.74219977e+01
gauss_lie4,0.05,2000,1.4946731834731055e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1372716373741695e-13,1.1298119747703294e-14,6000,2.41129697e+01
