case,h,reference_h,t_final,status,error_message,steps,runtime_sec,position_error_vs_projected_reference,velocity_error_vs_projected_reference,max_raw_velocity_constraint_norm,max_projected_velocity_constraint_norm,max_position_constraint_norm,max_least_squares_delta_v_norm,max_least_squares_delta_w_norm,max_least_squares_delta_norm,max_applied_delta_norm,max_projection_jac_condition,min_projection_jac_rank,total_newton_iterations,position_observed_order,velocity_observed_order,raw_velocity_constraint_observed_order,least_squares_delta_observed_order,notes
cylindrical_smooth,0.04,0.005,0.08,ok,,2,8.43577930e-02,1.7613133751888106e-07,1.0072724671727036e-05,9.5172576153549931e-11,1.3447724261540529e-16,5.8831828785734368e-12,6.9455513216312615e-11,3.8177419897460883e-11,7.9256442679244821e-11,7.9256442679244821e-11,2.6731148797780357e+00,8,12,7.1608280034173823e+00,7.0661825396518498e+00,5.8174060257119518e+00,5.7956120735648113e+00,"Audits the actual post-step velocity projection path: each step solves the dense Gauss6 residual, measures the raw endpoint velocity constraint, applies the same least-squares velocity correction, and advances with the projected state."
cylindrical_smooth,0.02,0.005,0.08,ok,,4,1.59241110e-01,1.8381850962989087e-09,2.9538772381634196e-08,7.4261056790785292e-13,1.4633596707542245e-16,9.1963610668061146e-14,6.0041408032098327e-13,3.1386264751720417e-13,6.3940342270792083e-13,6.3940342270792083e-13,2.6731148828868698e+00,8,24,7.1608280034173823e+00,7.0661825396518498e+00,5.8174060257119518e+00,5.7956120735648113e+00,"Audits the actual post-step velocity projection path: each step solves the dense Gauss6 residual, measures the raw endpoint velocity constraint, applies the same least-squares velocity correction, and advances with the projected state."
cylindrical_smooth,0.01,0.005,0.08,ok,,8,3.46491959e-01,8.6017850832544146e-12,5.6089447817955302e-10,2.9928462296341106e-14,2.9928462296341106e-14,1.4662811475967605e-15,2.4253930095313387e-14,8.4625369399590773e-15,2.5687889296875294e-14,0.0000000000000000e+00,2.6731148828619582e+00,8,48,7.1608280034173823e+00,7.0661825396518498e+00,5.8174060257119518e+00,5.7956120735648113e+00,"Audits the actual post-step velocity projection path: each step solves the dense Gauss6 residual, measures the raw endpoint velocity constraint, applies the same least-squares velocity correction, and advances with the projected state."
cylindrical_sharp,0.04,0.005,0.08,ok,,2,8.25192160e-02,9.4524728520435603e-06,2.3564816366845156e-03,1.7221976008650501e-10,2.1776111066408072e-16,2.6715482925265279e-12,1.5093950951903223e-10,4.0516027774633202e-11,1.5628270550665824e-10,1.5628270550665824e-10,2.6731430753597278e+00,8,13,1.8935250288226582e+00,2.6833716361599960e+00,4.0894492520616081e+00,4.2015461866803347e+00,"Audits the actual post-step velocity projection path: each step solves the dense Gauss6 residual, measures the raw endpoint velocity constraint, applies the same least-squares velocity correction, and advances with the projected state."
cylindrical_sharp,0.02,0.005,0.08,ok,,4,2.00772227e-01,1.5446339340662933e-06,5.5985060007124798e-04,1.7044070836579747e-11,1.8690986808578665e-16,9.3781198224608634e-14,1.3446039430051033e-11,7.1344505924003574e-12,1.5221575529815859e-11,1.5221575529815859e-11,2.6731429596248661e+00,8,25,1.8935250288226582e+00,2.6833716361599960e+00,4.0894492520616081e+00,4.2015461866803347e+00,"Audits the actual post-step velocity projection path: each step solves the dense Gauss6 residual, measures the raw endpoint velocity constraint, applies the same least-squares velocity correction, and advances with the projected state."
cylindrical_sharp,0.01,0.005,0.08,ok,,8,3.23497199e-01,6.8474642936791559e-07,5.7110157226116770e-05,5.9427737815949265e-13,1.7905702219492236e-14,3.1220459372221449e-15,2.9370545829890297e-13,3.5619203374881063e-13,4.6166617933381532e-13,4.6166617933381532e-13,2.6731429277805718e+00,8,48,1.8935250288226582e+00,2.6833716361599960e+00,4.0894492520616081e+00,4.2015461866803347e+00,"Audits the actual post-step velocity projection path: each step solves the dense Gauss6 residual, measures the raw endpoint velocity constraint, applies the same least-squares velocity correction, and advances with the projected state."
