case,h,reference_h,t_final,status,error_message,steps,runtime_sec,position_error_vs_kkt_reference,velocity_error_vs_kkt_reference,max_raw_velocity_constraint_norm,max_endpoint_velocity_constraint_norm,max_endpoint_position_constraint_norm,max_endpoint_kkt_residual_norm,max_endpoint_stationarity_norm,max_endpoint_correction_norm,max_endpoint_multiplier_norm,total_newton_iterations,max_newton_iterations,position_observed_order,velocity_observed_order,raw_velocity_constraint_observed_order,endpoint_correction_observed_order,notes
cylindrical_smooth,0.04,0.005,0.08,ok,,2,7.84998878e-01,1.7613133752076849e-07,1.0072724671749987e-05,9.5172640997620485e-11,2.4314040258323653e-16,5.8831776550394669e-12,6.4865425777888824e-14,1.0656024207618834e-16,7.9256447381524214e-11,8.5907066341737020e-11,12,6,7.1608497965184119e+00,7.0661842883804828e+00,6.9183995795310196e+00,6.9094978897676089e+00,"Augmented endpoint KKT residual: the stage Gauss6 equations are solved together with endpoint velocity variables, least-squares stationarity, and endpoint velocity constraints. This turns the previous velocity projection into a square residual closure for the endpoint velocities."
cylindrical_smooth,0.02,0.005,0.08,ok,,4,1.53601744e+00,1.8381850910667452e-09,2.9538772437624725e-08,7.4265746212451426e-13,1.5730040397299373e-16,9.1963610668061146e-14,1.5456260163309252e-14,2.3820930947556513e-16,6.3946750556796512e-13,7.5289139730151554e-13,24,6,7.1608497965184119e+00,7.0661842883804828e+00,6.9183995795310196e+00,6.9094978897676089e+00,"Augmented endpoint KKT residual: the stage Gauss6 equations are solved together with endpoint velocity variables, least-squares stationarity, and endpoint velocity constraints. This turns the previous velocity projection into a square residual closure for the endpoint velocities."
cylindrical_smooth,0.01,0.005,0.08,ok,,8,3.00672962e+00,8.6015252131254674e-12,5.6089311843256032e-10,6.5045990308576679e-15,3.6337974434436986e-16,1.6349292602427387e-15,1.5343432586070459e-14,1.0161157434848561e-16,5.4840620734599824e-15,6.3020064862083991e-15,48,6,7.1608497965184119e+00,7.0661842883804828e+00,6.9183995795310196e+00,6.9094978897676089e+00,"Augmented endpoint KKT residual: the stage Gauss6 equations are solved together with endpoint velocity variables, least-squares stationarity, and endpoint velocity constraints. This turns the previous velocity projection into a square residual closure for the endpoint velocities."
cylindrical_sharp,0.04,0.005,0.08,ok,,2,8.97262394e-01,9.4524728520093232e-06,2.3564816366847072e-03,1.7221973833221504e-10,3.7653592775629183e-16,2.6715482925265279e-12,9.1785876496760173e-13,1.2722284257621686e-16,1.5628267647168767e-10,2.0092985587593611e-10,13,7,1.8935250284547489e+00,2.6833716361957922e+00,4.0967623721334192e+00,4.2025318682790269e+00,"Augmented endpoint KKT residual: the stage Gauss6 equations are solved together with endpoint velocity variables, least-squares stationarity, and endpoint velocity constraints. This turns the previous velocity projection into a square residual closure for the endpoint velocities."
cylindrical_sharp,0.02,0.005,0.08,ok,,4,1.76698245e+00,1.5446339340662933e-06,5.5985060007106464e-04,1.7044013675632287e-11,2.1379968305679171e-16,9.3781198224608634e-14,1.3261918296056846e-14,1.7187673124281931e-16,1.5221671916559596e-11,1.8899047152865488e-11,25,7,1.8935250284547489e+00,2.6833716361957922e+00,4.0967623721334192e+00,4.2025318682790269e+00,"Augmented endpoint KKT residual: the stage Gauss6 equations are solved together with endpoint velocity variables, least-squares stationarity, and endpoint velocity constraints. This turns the previous velocity projection into a square residual closure for the endpoint velocities."
cylindrical_sharp,0.01,0.005,0.08,ok,,8,2.89861839e+00,6.8474642971467902e-07,5.7110157223287307e-05,5.8828287581335637e-13,1.6531462936479524e-16,3.1576942546301700e-15,5.7228788293157915e-12,8.0449131386981063e-17,4.6103568311950155e-13,4.6243368017811618e-13,48,6,1.8935250284547489e+00,2.6833716361957922e+00,4.0967623721334192e+00,4.2025318682790269e+00,"Augmented endpoint KKT residual: the stage Gauss6 equations are solved together with endpoint velocity variables, least-squares stationarity, and endpoint velocity constraints. This turns the previous velocity projection into a square residual closure for the endpoint velocities."
