case,h,reference_h,t_final,status,error_message,steps,runtime_sec,position_error_vs_solved_reference,velocity_error_vs_solved_reference,max_endpoint_position_constraint_norm,max_endpoint_velocity_constraint_norm,max_raw_endpoint_position_constraint_norm,max_raw_endpoint_velocity_constraint_norm,max_endpoint_position_correction_norm,max_endpoint_velocity_correction_norm,max_weighted_endpoint_position_residual_norm,max_weighted_endpoint_velocity_residual_norm,max_weighted_endpoint_node_residual_norm,max_endpoint_tfe_solved_residual_norm,max_endpoint_position_stationarity_norm,max_endpoint_velocity_stationarity_norm,max_stage_residual_norm,total_newton_iterations,max_newton_iterations,position_observed_order,velocity_observed_order,endpoint_position_correction_observed_order,endpoint_velocity_correction_observed_order,weighted_endpoint_node_residual_observed_order,stage_equations_are_tfe_weighted,notes
cylindrical_smooth,0.04,0.005,0.08,solved_endpoint_node_candidate_not_full_tfe,,2,1.09940298e+00,1.7613144882187082e-07,1.0072724680388009e-05,6.0753872352750744e-16,1.6521133234114529e-16,5.1028252069717355e-12,9.5171226548577745e-11,3.8814199640683343e-12,7.9037130753298446e-11,1.2080217059813526e-16,2.9135497110829993e-17,1.2335233099531852e-16,6.6430571361599682e-14,4.0323428313512458e-24,9.6104204588148016e-17,6.6430432800337214e-14,12,6,7.1608495217538790e+00,7.0661843668355120e+00,6.1101823652427454e+00,6.9101667230124093e+00,3.4421978735180592e-01,False,"Solved endpoint-node TFE candidate: Newton solves the Gauss6 stage residual together with endpoint position/orientation correction stationarity, endpoint velocity stationarity, and weighted endpoint position/velocity rows. The endpoint-node rows are solved in a square residual, but the stage equations remain the original Gauss6 FullVA equations rather than a fully TFE-weighted residual."
cylindrical_smooth,0.02,0.005,0.08,solved_endpoint_node_candidate_not_full_tfe,,4,2.17103502e+00,1.8381838216292220e-09,2.9538772928244829e-08,3.9692288585637421e-16,1.7515621406254843e-16,5.1123371436466193e-14,7.4257594101396061e-13,3.8846227515655198e-14,6.3875023261972356e-13,5.5012121836398428e-17,2.4010859792636836e-17,5.6172127939297528e-17,1.3125370466189843e-14,1.4831574679675261e-26,7.5484522478916997e-17,1.3125166231645784e-14,24,6,7.1608495217538790e+00,7.0661843668355120e+00,6.1101823652427454e+00,6.9101667230124093e+00,3.4421978735180592e-01,False,"Solved endpoint-node TFE candidate: Newton solves the Gauss6 stage residual together with endpoint position/orientation correction stationarity, endpoint velocity stationarity, and weighted endpoint position/velocity rows. The endpoint-node rows are solved in a square residual, but the stage equations remain the original Gauss6 FullVA equations rather than a fully TFE-weighted residual."
cylindrical_smooth,0.01,0.005,0.08,solved_endpoint_node_candidate_not_full_tfe,,8,4.21555044e+00,8.6015339249729541e-12,5.6089305790984197e-10,7.1233659972044907e-16,2.8993585367398501e-16,6.3091445698738795e-16,6.4642593111200854e-15,8.1338150589060251e-16,5.4638183019946624e-15,7.3437189696464139e-17,2.1583206627578479e-17,7.6543161933925918e-17,1.6257596339129431e-14,4.8964079516114450e-27,9.2664082970349948e-17,1.6257526967846404e-14,48,6,7.1608495217538790e+00,7.0661843668355120e+00,6.1101823652427454e+00,6.9101667230124093e+00,3.4421978735180592e-01,False,"Solved endpoint-node TFE candidate: Newton solves the Gauss6 stage residual together with endpoint position/orientation correction stationarity, endpoint velocity stationarity, and weighted endpoint position/velocity rows. The endpoint-node rows are solved in a square residual, but the stage equations remain the original Gauss6 FullVA equations rather than a fully TFE-weighted residual."
cylindrical_sharp,0.04,0.005,0.08,solved_endpoint_node_candidate_not_full_tfe,,2,1.04998047e+00,9.4524728221243000e-06,2.3564816366695384e-03,4.7217054282882961e-16,1.6847315561674558e-16,2.1132099276171284e-12,1.7222446523334601e-10,2.1379937952789616e-12,1.5629429025134665e-10,8.7847176352076299e-17,4.9451877260743297e-17,1.0080979395695845e-16,9.1587345688953339e-13,1.7507471908115684e-24,1.5799963401019122e-16,9.1587343771303069e-13,13,7,1.8935250262350742e+00,2.6833716361908082e+00,4.7069174252877977e+00,4.2024754785936533e+00,1.8603093268451720e-01,False,"Solved endpoint-node TFE candidate: Newton solves the Gauss6 stage residual together with endpoint position/orientation correction stationarity, endpoint velocity stationarity, and weighted endpoint position/velocity rows. The endpoint-node rows are solved in a square residual, but the stage equations remain the original Gauss6 FullVA equations rather than a fully TFE-weighted residual."
cylindrical_sharp,0.02,0.005,0.08,solved_endpoint_node_candidate_not_full_tfe,,4,2.16530960e+00,1.5446339326618168e-06,5.5985060007203446e-04,3.8340959837189268e-16,1.5330449379923661e-16,1.1021338750083115e-13,1.7044012776730485e-11,8.1452231352000368e-14,1.5223635122267193e-11,5.2200419492173678e-17,3.3052594112275364e-17,6.0367562846214673e-17,2.3896555845660780e-14,4.5343530587644076e-27,1.4644924256835402e-16,2.3896035832763809e-14,25,7,1.8935250262350742e+00,2.6833716361908082e+00,4.7069174252877977e+00,4.2024754785936533e+00,1.8603093268451720e-01,False,"Solved endpoint-node TFE candidate: Newton solves the Gauss6 stage residual together with endpoint position/orientation correction stationarity, endpoint velocity stationarity, and weighted endpoint position/velocity rows. The endpoint-node rows are solved in a square residual, but the stage equations remain the original Gauss6 FullVA equations rather than a fully TFE-weighted residual."
cylindrical_sharp,0.01,0.005,0.08,solved_endpoint_node_candidate_not_full_tfe,,8,3.81913418e+00,6.8474642965682540e-07,5.7110157223314283e-05,7.9865292300792943e-16,3.1013510431396558e-16,4.2862149173707587e-15,5.8830674910393680e-13,3.1344386672142875e-15,4.6110598839488669e-13,7.7820854896997748e-17,4.2922899620476909e-17,7.7893451014898498e-17,5.7233628834562052e-12,3.5014539740166880e-27,1.6078783232694935e-16,5.7233628820048005e-12,48,6,1.8935250262350742e+00,2.6833716361908082e+00,4.7069174252877977e+00,4.2024754785936533e+00,1.8603093268451720e-01,False,"Solved endpoint-node TFE candidate: Newton solves the Gauss6 stage residual together with endpoint position/orientation correction stationarity, endpoint velocity stationarity, and weighted endpoint position/velocity rows. The endpoint-node rows are solved in a square residual, but the stage equations remain the original Gauss6 FullVA equations rather than a fully TFE-weighted residual."
