case,history_mode,matrix_law,gain,h,status,error_message,bootstrap_step_count,newton_converged,residual_norm,min_jacobian_rank,raw_terminal_endpoint_constraint_norm,raw_terminal_endpoint_velocity_constraint_norm,history_source_norm,source_curvature_norm,candidate_basis_rank,candidate_augmented_rank,candidate_independent_target_rank,candidate_projection_relative_residual,candidate_max_row_relative_residual,candidate_missing_direction_rank,candidate_missing_direction_dominant_variable_family,candidate_missing_direction_dominant_variable_fraction,candidate_missing_direction_stage0_fraction,candidate_missing_direction_stage1_fraction,candidate_missing_direction_stage2_fraction,candidate_spans_terminal_bridge,candidate_closure_value_delta_from_recurrent_norm,candidate_closure_value_delta_from_recurrent_relative,uses_stage2_velocity_matrix_feature,uses_endpoint_pose_velocity_predictor,terminal_bridge_equivalent_predictor,target_bridge_used_for_scoring_only,accepted_h_sweep_present,full_tfe_stage_replacement
cylindrical_smooth,zero_initial,feature_outer_stage2_velocity,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.973758911542036,0.9993978485447425,8,translation_velocity_v,0.5100579979215355,1.34740756764462e-30,2.5245395165508605e-31,1.0,False,4.388774303165363e-16,0.022449945492497212,True,False,False,True,False,False
cylindrical_smooth,zero_initial,feature_outer_stage2_velocity,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.9737589115420362,0.999397848544742,8,translation_velocity_v,0.5100579979215354,1.639896826370216e-28,1.6513743165422639e-28,1.0,False,4.3887742962645993e-16,0.022449945457197657,True,False,False,True,False,False
cylindrical_smooth,zero_initial,symmetric_stage2_velocity_outer_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.973758911542036,0.9993978485447425,8,translation_velocity_v,0.5100579979215355,1.2900208691638049e-30,3.2708228006915217e-31,1.0,False,4.3887743031656694e-16,0.022449945492498777,True,False,False,True,False,False
cylindrical_smooth,zero_initial,symmetric_stage2_velocity_outer_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.973758911542036,0.9993978485447422,8,translation_velocity_v,0.5100579979215356,8.974476114309732e-29,8.979679366520757e-29,1.0,False,4.388774299316107e-16,0.022449945472807067,True,False,False,True,False,False
cylindrical_smooth,zero_initial,antisymmetric_stage2_velocity_outer_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.973758911542036,0.9993978485447425,8,translation_velocity_v,0.5100579979215355,1.2579118697069068e-30,3.8149291738925864e-31,1.0,False,4.3887743031654426e-16,0.022449945492497618,True,False,False,True,False,False
cylindrical_smooth,zero_initial,antisymmetric_stage2_velocity_outer_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.9737589115420363,0.9993978485447422,8,translation_velocity_v,0.5100579979215353,2.9967653894041975e-28,2.9732050564929256e-28,1.0,False,4.388774297063048e-16,0.02244994546128197,True,False,False,True,False,False
cylindrical_smooth,post_one_step,row_broadcast_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8988734900722744,0.9973079212888308,8,translation_velocity_v,0.5560597118497455,9.070049890288858e-16,9.007251980694044e-16,0.9999999999999981,False,3.4031689439601663e-13,7.815681552167385,True,False,False,True,False,False
cylindrical_smooth,post_one_step,row_broadcast_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8988734900706347,0.9973079212912445,8,translation_velocity_v,0.5560597119161159,7.092225894279792e-16,7.036079095443853e-16,0.9999999999999986,False,3.4041235436330605e-09,78178.73875609448,True,False,False,True,False,False
cylindrical_smooth,post_one_step,column_broadcast_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8988734903222512,0.9973079208671125,8,translation_velocity_v,0.556059712229475,7.732206064683018e-17,7.212582721354408e-17,0.9999999999999998,False,2.516166486740697e-13,5.778601155697214,True,False,False,True,False,False
cylindrical_smooth,post_one_step,column_broadcast_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8988734902920579,0.9973079209185542,8,translation_velocity_v,0.5560597122510852,6.0274969062945e-17,5.662180049733879e-17,1.0,False,2.5168453764155664e-09,57801.60286494189,True,False,False,True,False,False
cylindrical_smooth,post_one_step,symmetric_broadcast_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8988734909882455,0.9973079200686916,8,translation_velocity_v,0.55605971139489,4.660039300132418e-16,4.3658379246082896e-16,0.9999999999999991,False,2.1656430103815208e-13,4.973592673046328,True,False,False,True,False,False
cylindrical_smooth,post_one_step,symmetric_broadcast_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8988734907181262,0.9973079204203062,8,translation_velocity_v,0.5560597116459747,2.5860219782219806e-16,2.4469867962677117e-16,0.9999999999999993,False,2.1667940938198137e-09,49762.36239011408,True,False,False,True,False,False
cylindrical_smooth,post_one_step,diagonal_plus_row_broadcast_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8988734900646129,0.9973079237876259,8,translation_velocity_v,0.5560597114801714,1.3781833113968018e-14,1.3874744184483595e-14,0.9999999999999726,False,4.003488242204237e-13,9.194368458976198,True,False,False,True,False,False
cylindrical_smooth,post_one_step,diagonal_plus_row_broadcast_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8988733167749159,0.9973158647105711,8,translation_velocity_v,0.556060312894449,4.4632000323652234e-08,4.5351065958560774e-08,0.9999999100169338,False,4.004550439674895e-09,91968.07890374663,True,False,False,True,False,False
cylindrical_smooth,post_one_step,shifted_column_broadcast_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8988734903593746,0.9973079208646696,8,translation_velocity_v,0.5560597122430389,8.638929037749198e-17,7.86652505655624e-17,0.9999999999999999,False,2.515644658240463e-13,5.777402729921171,True,False,False,True,False,False
cylindrical_smooth,post_one_step,shifted_column_broadcast_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8988734902920621,0.9973079209185521,8,translation_velocity_v,0.5560597122510863,6.040517112698537e-17,5.669227467695447e-17,1.0,False,2.516845324252335e-09,57801.601666966664,True,False,False,True,False,False
cylindrical_smooth,post_one_step,feature_outer_stage2_velocity,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.898873490062493,0.9973079213096662,8,translation_velocity_v,0.5560597124153913,7.373381139365765e-28,6.857789160605836e-28,1.0,False,1.6497329282419873e-16,0.0037887590729656414,True,False,False,True,False,False
cylindrical_smooth,post_one_step,feature_outer_stage2_velocity,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8988734900672737,0.9973079213101579,8,translation_velocity_v,0.5560597124087964,6.954254199518177e-20,6.486938789115146e-20,1.0000000000000002,False,9.562817983849103e-16,0.021961865935498138,True,False,False,True,False,False
cylindrical_smooth,post_one_step,symmetric_stage2_velocity_outer_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8988734900624936,0.9973079213096664,8,translation_velocity_v,0.5560597124153915,5.60908112088097e-28,5.310310561735548e-28,1.0,False,1.6497031522510224e-16,0.0037886906897419124,True,False,False,True,False,False
cylindrical_smooth,post_one_step,symmetric_stage2_velocity_outer_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8988734900744922,0.9973079213123662,8,translation_velocity_v,0.5560597124098767,5.441283308103279e-20,5.1666640539563305e-20,1.0,False,7.241297654068377e-16,0.016630287070848876,True,False,False,True,False,False
cylindrical_smooth,post_one_step,antisymmetric_stage2_velocity_outer_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8988734900624911,0.9973079213096658,8,translation_velocity_v,0.556059712415392,2.2213522439430426e-27,2.1006347799196992e-27,1.0,False,1.6494285255056404e-16,0.0037880599848833063,True,False,False,True,False,False
cylindrical_smooth,post_one_step,antisymmetric_stage2_velocity_outer_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_matrix_gradient_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8988734900481302,0.9973079213053279,8,translation_velocity_v,0.5560597124134022,2.0936759807934323e-19,1.980528374754286e-19,1.0,False,7.442287105340877e-16,0.017091877304057444,True,False,False,True,False,False
