case,history_mode,matrix_law,gain,h,status,error_message,bootstrap_step_count,newton_converged,residual_norm,min_jacobian_rank,raw_terminal_endpoint_constraint_norm,raw_terminal_endpoint_velocity_constraint_norm,history_source_norm,source_curvature_norm,candidate_basis_rank,candidate_augmented_rank,candidate_independent_target_rank,candidate_projection_relative_residual,candidate_max_row_relative_residual,candidate_missing_direction_rank,candidate_missing_direction_dominant_variable_family,candidate_missing_direction_dominant_variable_fraction,candidate_missing_direction_stage0_fraction,candidate_missing_direction_stage1_fraction,candidate_missing_direction_stage2_fraction,candidate_spans_terminal_bridge,candidate_closure_value_delta_from_recurrent_norm,candidate_closure_value_delta_from_recurrent_relative,uses_stage2_velocity_matrix_feature,uses_endpoint_pose_velocity_predictor,terminal_bridge_equivalent_predictor,target_bridge_used_for_scoring_only,accepted_h_sweep_present,full_tfe_stage_replacement,uses_stage2_translation_angular_coupled_matrix_feature
cylindrical_smooth,zero_initial,stage2_velocity_pair_swap_hadamard_diagonal_feature_stage2_velocity,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_angular_coupled_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.9737589115420359,0.9993978485447425,8,translation_velocity_v,0.5100579979215356,1.4164837853451705e-30,4.6775099087718165e-31,1.0000000000000002,False,4.3887743032118374e-16,0.022449945492734942,True,False,False,True,False,False,True
cylindrical_smooth,zero_initial,stage2_velocity_pair_swap_hadamard_diagonal_feature_stage2_velocity,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_angular_coupled_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.9737589115420049,0.9993978485447438,8,translation_velocity_v,0.5100579979215341,1.8842856321171312e-23,1.9221409805482387e-23,1.0,False,4.3887747609996167e-16,0.022449947834461807,True,False,False,True,False,False,True
cylindrical_smooth,zero_initial,stage2_velocity_pair_swap_outer_stage2_velocity,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_angular_coupled_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.973758911542036,0.9993978485447425,8,translation_velocity_v,0.5100579979215356,3.529111077120799e-30,2.4159684027935224e-30,1.0,False,4.3887743032591504e-16,0.02244994549297696,True,False,False,True,False,False,True
cylindrical_smooth,zero_initial,stage2_velocity_pair_swap_outer_stage2_velocity,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_angular_coupled_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.9737589115416377,0.9993978485448166,8,translation_velocity_v,0.5100579979218685,2.0804706237939729e-22,2.0639279781037224e-22,0.9999999999999998,False,4.3887752341377323e-16,0.022449950254710416,True,False,False,True,False,False,True
cylindrical_smooth,zero_initial,stage2_velocity_stage2_velocity_outer_pair_swap_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_angular_coupled_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.973758911542036,0.9993978485447425,8,translation_velocity_v,0.5100579979215356,2.4368138925836954e-30,1.3695578217308155e-30,1.0,False,4.388774303304034e-16,0.022449945493206554,True,False,False,True,False,False,True
cylindrical_smooth,zero_initial,stage2_velocity_stage2_velocity_outer_pair_swap_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_angular_coupled_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.973758911541931,0.9993978485447335,8,translation_velocity_v,0.5100579979215412,1.110200508277714e-22,1.1095322212182145e-22,1.0,False,4.3887756829869025e-16,0.022449952550713515,True,False,False,True,False,False,True
cylindrical_smooth,zero_initial,stage2_velocity_symmetric_pair_swap_outer_stage2_velocity,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_angular_coupled_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.9737589115420359,0.9993978485447425,8,translation_velocity_v,0.5100579979215356,2.1839980997007385e-30,1.3726387709485275e-30,1.0000000000000002,False,4.388774303281597e-16,0.02244994549309178,True,False,False,True,False,False,True
cylindrical_smooth,zero_initial,stage2_velocity_symmetric_pair_swap_outer_stage2_velocity,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_angular_coupled_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.9737589115417844,0.999397848544775,8,translation_velocity_v,0.5100579979217048,9.716843888097863e-23,9.779426794215898e-23,1.0,False,4.3887754585614723e-16,0.022449951402707644,True,False,False,True,False,False,True
cylindrical_smooth,zero_initial,stage2_velocity_local_pair_cross_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_angular_coupled_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.9737592227161719,0.9993981095737267,8,translation_velocity_v,0.5100575946129869,1.4549283528837466e-09,1.4603091362043397e-09,0.9999999970847625,False,2.949386448402576e-15,0.1508702895822003,True,False,False,True,False,False,True
cylindrical_smooth,zero_initial,stage2_velocity_local_pair_cross_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_angular_coupled_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.8988661318711653,0.9651794484513344,8,translation_velocity_v,0.4794879019826747,0.03621935052415756,0.03581303221776964,0.927967617258073,False,2.551743565923628e-11,1305.2961945320028,True,False,False,True,False,False,True
cylindrical_smooth,zero_initial,stage2_velocity_local_pair_swap_stage2_velocity_cross_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_angular_coupled_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.973758911542036,0.9993978485447425,8,translation_velocity_v,0.5100579979215355,1.6550514850179755e-30,6.577226113790418e-31,1.0,False,4.3887743031939476e-16,0.02244994549264343,True,False,False,True,False,False,True
cylindrical_smooth,zero_initial,stage2_velocity_local_pair_swap_stage2_velocity_cross_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_angular_coupled_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.9737589115419293,0.9993978485447605,8,translation_velocity_v,0.5100579979214841,3.103781750418616e-23,3.163427388914442e-23,1.0,False,4.3887745820751343e-16,0.02244994691920743,True,False,False,True,False,False,True
cylindrical_smooth,zero_initial,stage2_velocity_pair_swap_stage2_hadamard_row_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_angular_coupled_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.973758911542036,0.9993978485447425,8,translation_velocity_v,0.5100579979215355,3.9106365468399955e-30,2.9066215937157464e-30,1.0,False,4.388774303228016e-16,0.0224499454928177,True,False,False,True,False,False,True
cylindrical_smooth,zero_initial,stage2_velocity_pair_swap_stage2_hadamard_row_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_angular_coupled_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,6.446300155101045e-10,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.9737589115423134,0.9993978485445587,8,translation_velocity_v,0.5100579979214492,2.582996215731721e-22,2.555621980118945e-22,1.0000000000000002,False,4.3887749227620697e-16,0.022449948661927063,True,False,False,True,False,False,True
cylindrical_smooth,post_one_step,stage2_velocity_rowmask_translation_from_angular_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_angular_coupled_matrix_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8429776266966527,0.9967989833899897,8,translation_velocity_v,0.6322465654458532,0.012212097073657913,0.012963122203577431,0.9748247807227645,False,7.910068502593736e-07,18166179.079008948,True,False,False,True,False,False,True
cylindrical_smooth,post_one_step,stage2_velocity_rowmask_translation_from_angular_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_angular_coupled_matrix_differential_audit_gap_not_full_tfe,,1,True,2.4825205374532975e-12,132,1.5912781006705557e-07,4.020786763889641e-06,7.946977087299714e-14,1.0761766132525447e-14,24,32,8,0.8352505244135255,0.9943451451849962,8,translation_velocity_v,0.6439988046461883,0.010330502756346139,0.010965812738564777,0.9787036845050892,False,9.126298389305912e-07,20959359.68370427,True,False,False,True,False,False,True
