case,h,reference_h,t_final,status,error_message,runtime_sec,position_error,velocity_error,accepted_steps,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,total_newton_iterations,position_observed_order_all,velocity_observed_order_all,position_tail_order,velocity_tail_order,position_error_reduction_vs_h005,velocity_error_reduction_vs_h005,runtime_factor_vs_h005,notes
cylindrical_sharp,0.01,0.00125,0.08,deep_order_reduction_persists,,2.24660211e-01,6.6861404990866029e-07,5.6988344241357232e-05,8,3.1220459372221449e-15,1.7905702219492236e-14,48,6.3982614429442162e+00,5.8697817462881980e+00,7.4234649253386147e+00,3.1765455878717530e+00,2.4129503482217183e-02,2.6440810114507188e-03,5.7251401227398957e-01,"Deep fixed projected dense Gauss6 sharp-case refinement audit. The sweep shifts the previous tail interval down to h=0.005 to h=0.0025 against an h=0.00125 reference, testing whether the sharp Brown-McPhee case has entered the asymptotic high-order regime under simple refinement."
cylindrical_sharp,0.005,0.00125,0.08,deep_order_reduction_persists,,3.92409978e-01,1.6133325045530351e-08,1.5068179888258957e-07,16,8.7116308385243110e-16,2.5257935885232340e-15,96,6.3982614429442162e+00,5.8697817462881980e+00,7.4234649253386147e+00,3.1765455878717530e+00,1.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,"Deep fixed projected dense Gauss6 sharp-case refinement audit. The sweep shifts the previous tail interval down to h=0.005 to h=0.0025 against an h=0.00125 reference, testing whether the sharp Brown-McPhee case has entered the asymptotic high-order regime under simple refinement."
cylindrical_sharp,0.0025,0.00125,0.08,deep_order_reduction_persists,,8.16417455e-01,9.3980612156785816e-11,1.6665766462125546e-08,32,8.6650150006025064e-16,4.2674589821931802e-16,192,6.3982614429442162e+00,5.8697817462881980e+00,7.4234649253386147e+00,3.1765455878717530e+00,1.7166652435308120e+02,9.0413962793146965e+00,2.0805216497259162e+00,"Deep fixed projected dense Gauss6 sharp-case refinement audit. The sweep shifts the previous tail interval down to h=0.005 to h=0.0025 against an h=0.00125 reference, testing whether the sharp Brown-McPhee case has entered the asymptotic high-order regime under simple refinement."
