case,solver,h,status,error_message,steps,runtime_sec,pattern_build_sec,dense_validation_pattern_sec,total_newton_iterations,total_linear_solves,total_jacobian_assemblies,total_residual_eval_sec,total_jacobian_eval_sec,total_linear_solve_sec,avg_jacobian_eval_sec,avg_linear_solve_sec,pattern_nnz,pattern_density,colors,pattern_missing_vs_dense,pattern_extra_vs_dense,position_error_vs_dense,velocity_error_vs_dense,max_linear_residual_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_position_acceleration_constraint_norm,max_stage_orientation_acceleration_constraint_norm,max_quaternion_unit_error
skew_prismatic_smooth,dense_jacfwd_csr,0.02,ok,,4,5.35747000e-02,0.00000000e+00,5.45660050e-02,16,12,12,1.2545154080726206e-02,1.7229724151547998e-02,2.8044859063811600e-03,1.4358103459623333e-03,2.3370715886509666e-04,414,8.6956521739130432e-02,18,0,0,0.0000000000000000e+00,0.0000000000000000e+00,3.2465312081686765e-15,3.5092033076302678e-16,2.3273757686693185e-17,6.2803698347351007e-16,4.9869309325415508e-37,0.0000000000000000e+00
skew_prismatic_smooth,generated_block_jvp_pruned,0.02,ok,,4,9.16919330e-02,4.71221672e+00,5.45660050e-02,16,12,12,1.9709295069333166e-02,4.1752364952117205e-02,4.0715450886636972e-03,3.4793637460097671e-03,3.3929542405530810e-04,414,8.6956521739130432e-02,18,0,0,0.0000000000000000e+00,0.0000000000000000e+00,3.2465312081686765e-15,3.5092033076302678e-16,2.3273757686693185e-17,6.2803698347351007e-16,4.9869309325420644e-37,0.0000000000000000e+00
skew_prismatic_sharp,dense_jacfwd_csr,0.02,ok,,4,5.80191760e-02,0.00000000e+00,4.82481930e-02,19,15,15,1.2738001940306276e-02,2.0638506044633687e-02,3.8741139578633010e-03,1.3759004029755791e-03,2.5827426385755339e-04,414,8.6956521739130432e-02,18,0,0,0.0000000000000000e+00,0.0000000000000000e+00,3.1348381020533910e-15,3.4982096358720017e-16,3.3949597195211757e-17,7.1088959579333461e-16,4.7828213264793911e-44,0.0000000000000000e+00
skew_prismatic_sharp,generated_block_jvp_pruned,0.02,ok,,4,8.56893450e-02,8.86421260e-02,4.82481930e-02,19,15,15,1.6414358979091048e-02,4.3431342055555433e-02,3.1261860276572406e-03,2.8954228037036955e-03,2.0841240184381603e-04,414,8.6956521739130432e-02,18,0,0,0.0000000000000000e+00,0.0000000000000000e+00,3.1348381020533910e-15,3.4982096358720017e-16,3.3949597195211757e-17,7.1088959579333461e-16,4.7828213264793911e-44,0.0000000000000000e+00
