case,method,solver,h,status,error_message,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,total_residual_eval_sec,total_jacobian_eval_sec,total_jvp_eval_sec,total_linear_solve_sec,avg_linear_solve_sec,total_linear_solves,total_gmres_iterations,total_jvp_matvecs,avg_jvp_matvecs_per_solve,max_linear_residual_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_pivot_acceleration_constraint_norm,max_stage_axis_acceleration_constraint_norm,max_quaternion_unit_error
double_revolute_smooth,double_revolute_gauss6_fullva,csr_jacobian,0.02,ok,,1,8.2063708990032705e-10,1.5561222431729058e-08,1.71908640e-02,4,2.1011200151406229e-03,3.9434480131603777e-03,0.0000000000000000e+00,2.2082279901951551e-03,7.3607599673171842e-04,3,0,0,0.0000000000000000e+00,1.3055906034465400e-14,3.5907820585053152e-15,4.2695265864459430e-13,8.2871006764575876e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_smooth,double_revolute_gauss6_fullva,jvp_gmres,0.02,failed,"GMRES failed with info=200, residual=1.323e+00",,,,2.04865776e+01,,,,,,,,,,,,,,,,
double_revolute_sharp,double_revolute_gauss6_fullva,csr_jacobian,0.02,ok,,1,7.0813258373774012e-09,4.8940236977169682e-07,2.26661860e-02,4,2.9271310195326805e-03,3.4596799523569643e-03,0.0000000000000000e+00,2.5499620242044330e-03,8.4998734140147769e-04,3,0,0,0.0000000000000000e+00,1.4051555451082052e-14,7.4553046767411101e-15,2.3381516744531271e-13,1.1933513528566256e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_sharp,double_revolute_gauss6_fullva,jvp_gmres,0.02,failed,"GMRES failed with info=200, residual=1.574e+00",,,,2.34402096e+01,,,,,,,,,,,,,,,,
