eps,gauss4_orientation_order,gauss6_orientation_order,gauss4_h0025_error,gauss6_h0025_error,error_ratio_g4_over_g6,runtime_ratio_g6_over_g4,value_ratio_error_reduction_per_runtime,order_gain,decision
1,3.9923281419772478e+00,6.0137609623628938e+00,1.5877538684303793e-07,1.3534708834329957e-11,1.1730979128292285e+04,1.2985341241324504e+00,9.0340168273434811e+03,2.0214328203856460e+00,Gauss6 strong win
0.5,3.9854933789662845e+00,6.4055707913509368e+00,1.5212145927094910e-07,1.5787429809612915e-11,9.6356063719962094e+03,1.4310694145898799e+00,6.7331509385640875e+03,2.4200774123846522e+00,Gauss6 strong win
0.2,3.8691625773986877e+00,5.0344084277083923e+00,1.5507926910505173e-07,6.4589304378717357e-10,2.4010054078884224e+02,1.7338322423213370e+00,1.3847968386340781e+02,1.1652458503097045e+00,Gauss6 strong win
0.1,2.8084350045581004e+00,5.1162651686597256e+00,5.2821879365408548e-07,2.9416883295653178e-08,1.7956314010061643e+01,1.1826109352234453e+00,1.5183619122098625e+01,2.3078301641016252e+00,Gauss6 useful
0.05,2.2319975316471825e+00,3.8781449183745718e+00,2.2349439759432249e-06,7.5658651801587180e-07,2.9539833485327054e+00,1.1884454126253507e+00,2.4855860581826557e+00,1.6461473867273893e+00,Gauss6 marginal
0.025,5.2782882796081831e-01,2.8014558322332577e+00,2.6575767635156048e-05,6.2862396713908799e-06,4.2276096719799341e+00,1.2031949575715213e+00,3.5136530828825663e+00,2.2736270042724396e+00,Gauss6 marginal
