model,method,row_type,h,t0,t_end,steps,status,stage_oracle_used,max_initial_stage_residual_inf,max_stage_residual_inf,total_stage_newton_iterations,line_search_failures,all_stages_converged,endpoint_pos_error_inf,endpoint_vel_error_inf,endpoint_acc_error_inf,endpoint_orientation_error_inf,endpoint_omega_error_inf,endpoint_alpha_error_inf,endpoint_position_constraint_norm,endpoint_velocity_constraint_norm,endpoint_acceleration_constraint_norm,endpoint_so3_fro,runtime_sec,trajectory_stepper_executed,simulate_runner_implemented,source_policy_external_superiority_allowed,submission_ready,model_pos_observed_order,model_orientation_observed_order,model_vel_observed_order,model_omega_observed_order,accepted_dynamic_order
four_link,Gauss6/FullVA-local-closed-loop-true-dynamic-newton,self_contained_closed_loop_candidate,1.0000000000000001e-01,0.0000000000000000e+00,1.0000000000000001e-01,1,ok,false,4.3061325916317529e+01,1.1013412404281553e-13,8,0,true,8.8068463632851035e-09,5.0344821200809520e-08,3.4958256753141628e+00,6.6941847065571380e-09,3.4703526718971034e-08,7.9288532865681283e-01,2.0817080107482462e-08,2.6927413867233574e-07,6.9049609976435411e+00,3.5482891288431626e-16,3.0503161199158058e-01,true,true,false,false,5.9548979111188078e+00,5.9551952274786428e+00,6.0848187309877098e+00,5.9714212386921126e+00,true
four_link,Gauss6/FullVA-local-closed-loop-true-dynamic-newton,self_contained_closed_loop_candidate,5.0000000000000003e-02,0.0000000000000000e+00,1.0000000000000001e-01,2,ok,false,2.3952221257871500e+01,6.8633987382327177e-11,15,0,true,1.4460210806532814e-10,7.2894623670549663e-10,1.7526312376453399e+00,1.0991557664041807e-10,5.6043436558184112e-10,3.8016820885598057e-01,3.3930092964956029e-10,4.4123924226899375e-09,3.4076345759171200e+00,4.7659068993686381e-16,5.5377032200340182e-01,true,true,false,false,5.9548979111188078e+00,5.9551952274786428e+00,6.0848187309877098e+00,5.9714212386921126e+00,true
four_link,Gauss6/FullVA-local-closed-loop-true-dynamic-newton,self_contained_closed_loop_candidate,2.5000000000000001e-02,0.0000000000000000e+00,1.0000000000000001e-01,4,ok,false,1.2572054163602173e+01,2.0968116132280556e-11,27,0,true,2.2888357875672227e-12,1.0927703186780491e-11,8.8043932382672896e-01,1.7390533457728452e-12,8.8149487709188179e-12,1.8657724072650295e-01,5.3602179150829522e-12,6.9705706974164443e-11,1.6946029802682461e+00,5.0016219980573928e-16,9.9195843801135197e-01,true,true,false,false,5.9548979111188078e+00,5.9551952274786428e+00,6.0848187309877098e+00,5.9714212386921126e+00,true
slider_crank,Gauss6/FullVA-local-closed-loop-true-dynamic-newton,self_contained_closed_loop_candidate,1.0000000000000001e-01,0.0000000000000000e+00,1.0000000000000001e-01,1,ok,false,1.2886358278365131e+00,1.7900264603909477e-13,8,0,true,4.4112151514896780e-08,2.4150834337585692e-07,4.4820060527323846e-01,2.0527722184591230e-07,7.9405240746566186e-07,1.4469263568666768e+00,1.8137721391191530e-08,1.2862418484624315e-07,1.3141777776835164e+00,6.9970849442793825e-16,3.7597853201441467e-01,true,true,false,false,6.1636873103333132e+00,6.1589759629934155e+00,7.3409196849286005e+00,6.4255003108861279e+00,true
slider_crank,Gauss6/FullVA-local-closed-loop-true-dynamic-newton,self_contained_closed_loop_candidate,5.0000000000000003e-02,0.0000000000000000e+00,1.0000000000000001e-01,2,ok,false,1.2267236055130222e+00,2.4901858353132411e-11,15,0,true,5.7265425734698283e-10,9.8783991750450717e-10,2.1422475599150936e-01,2.6785956562446864e-09,7.0291901188568318e-09,7.2322812640373679e-01,2.3917348034640102e-10,1.5467096037532218e-09,6.9305751203480792e-01,6.6444150807234721e-16,7.1356825501425192e-01,true,true,false,false,6.1636873103333132e+00,6.1589759629934155e+00,7.3409196849286005e+00,6.4255003108861279e+00,true
slider_crank,Gauss6/FullVA-local-closed-loop-true-dynamic-newton,self_contained_closed_loop_candidate,2.5000000000000001e-02,0.0000000000000000e+00,1.0000000000000001e-01,4,ok,false,7.5858543695140901e-01,9.4346530588040878e-11,25,0,true,8.5831897145283165e-12,9.1887851494387718e-12,1.0394461155700929e-01,4.0203859500865091e-11,1.0747625012186290e-10,3.6160293639167007e-01,3.6068499328404941e-12,2.4319541939152885e-11,3.5205384828196290e-01,9.8753588487662099e-16,1.2218504240154289e+00,true,true,false,false,6.1636873103333132e+00,6.1589759629934155e+00,7.3409196849286005e+00,6.4255003108861279e+00,true
