case,method,h,t_final,runtime_sec,steps,total_newton_iterations,max_energy_relative_error,final_energy_relative_change,max_step_energy_increase,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_quaternion_unit_error
frictionless_long,reduced_lie_bdf2_fd,0.05,20,1.83924741e+00,400,1197,5.3142581374086166e-02,-5.3142581374086166e-02,2.0420453724803167e-03,2.4980018054066022e-16,7.6315215729414023e-16,2.2204460492503131e-16
frictionless_long,reduced_lie_trapezoidal_fd,0.05,20,1.88077802e+00,400,1200,4.2990750787301365e-04,-5.9019159621934321e-05,1.6199798158886836e-03,3.0404709722440588e-16,4.1540741810552243e-16,2.2204460492503131e-16
frictionless_long,quaternion_gauss_lie6_endpoint_jax,0.05,20,1.92817243e+00,400,1598,1.1049376861837322e-10,-2.9217843277108548e-11,1.3797603060083929e-09,1.0114156128027534e-14,1.1899835257910566e-13,2.2204460492503131e-16
sharp_friction_long,reduced_lie_bdf2_fd,0.05,20,1.71707140e+00,400,1197,2.1162602911508213e-01,-2.1162602911508213e-01,0.0000000000000000e+00,2.3592239273284576e-16,2.9893669801409083e-16,2.2204460492503131e-16
sharp_friction_long,reduced_lie_trapezoidal_fd,0.05,20,1.66745786e+00,400,1200,1.8832180339803004e-01,-1.8832180339803004e-01,0.0000000000000000e+00,2.6184557666721351e-16,2.4355418757871290e-16,2.2204460492503131e-16
sharp_friction_long,quaternion_gauss_lie6_endpoint_jax,0.05,20,1.84253201e+00,400,1329,1.8893046086385495e-01,-1.8893046086385495e-01,0.0000000000000000e+00,6.4055274495706777e-15,1.6476618636762469e-13,2.2204460492503131e-16
