method,h,steps,max_energy_relative_error,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_constraint_norm,max_stage_force_residual_norm,max_stage_torque_residual_norm,max_lambda_norm,total_newton_iterations,runtime_sec
reduced_rkmk4,0.1,200,1.7370725495438990e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,8.78418200e-02
reduced_rkmk4,0.05,400,5.5266161087699321e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,1.91818717e-01
absolute_gauss_lie4_acc_projected,0.1,200,2.4321820692806219e-06,0.0000000000000000e+00,0.0000000000000000e+00,2.3055512673781017e-16,7.1054273576010019e-15,6.2063392620765848e-15,5.8272020386008933e+01,800,1.54041614e+01
absolute_gauss_lie4_acc_projected,0.05,400,1.4946732277438074e-07,0.0000000000000000e+00,0.0000000000000000e+00,3.2664727895544647e-15,1.6346344111649587e-13,9.3076925596213018e-12,5.8299776127282072e+01,1593,3.06714877e+01
absolute_gauss_lie4_endpoint,0.1,200,2.4321820692806219e-06,2.3263411494723067e-16,8.4915733005055145e-16,2.2887833992611187e-16,7.1054273576010019e-15,7.5495197562803107e-15,5.8272020386008890e+01,800,2.18093462e+01
absolute_gauss_lie4_endpoint,0.05,400,1.4946732179058736e-07,1.3003746363612952e-14,3.5552588207842481e-13,3.2993254823783446e-15,1.8923828802177707e-13,9.2983828940746725e-12,5.8299776127282080e+01,1593,4.66286056e+01
