method,h,steps,orientation_error_rad,omega_l2_error,max_energy_relative_error,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_constraint_norm,max_stage_force_residual_norm,max_stage_torque_residual_norm,max_lambda_norm,total_newton_iterations,runtime_sec
reduced_rkmk4,0.2,10,1.1524797737581126e-02,2.6376608077207767e-02,5.9593838404654832e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,4.98719298e-03
reduced_rkmk4,0.1,20,6.4272900113497740e-04,1.7913899549382270e-03,2.0229390249839837e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,6.99268002e-03
reduced_rkmk4,0.05,40,3.6822594790888479e-05,1.1700450040823649e-04,6.5048683339794483e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,1.48865100e-02
absolute_gauss_lie4_acc_projected,0.2,10,1.5425082754796113e-03,4.8774881572985354e-03,3.4579760123652093e-05,0.0000000000000000e+00,0.0000000000000000e+00,7.2484045750001980e-16,1.3083685124343200e-14,6.8244873669989639e-13,5.6588796322462940e+01,40,8.70740806e-01
absolute_gauss_lie4_acc_projected,0.1,20,9.9682255825621970e-05,3.1318400568962514e-04,2.4321820692806219e-06,0.0000000000000000e+00,0.0000000000000000e+00,1.2719202621569003e-16,7.1054273576010019e-15,6.2063392620765848e-15,5.7211290820475512e+01,80,1.69106344e+00
absolute_gauss_lie4_acc_projected,0.05,40,6.2790298708130463e-06,1.9708004582376408e-05,1.4869748183468884e-07,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,7.1054273576010019e-15,5.6217375079606149e-15,5.7314689424812180e+01,160,3.31431966e+00
absolute_gauss_lie4_endpoint,0.2,10,1.5425082754812300e-03,4.8774881572939410e-03,3.4579760122504330e-05,4.6944886580573075e-15,2.2652604510615083e-13,6.8551214900283532e-16,1.3293037379376718e-14,6.7470140461979932e-13,5.6588796322462969e+01,40,1.30323082e+00
absolute_gauss_lie4_endpoint,0.1,20,9.9682255825720795e-05,3.1318400568914348e-04,2.4321820692806219e-06,2.3263411494723067e-16,3.5950234537557046e-16,2.2887833992611187e-16,7.1054273576010019e-15,5.3362936375102066e-15,5.7211290820475512e+01,80,2.26307123e+00
absolute_gauss_lie4_endpoint,0.05,40,6.2790298706814724e-06,1.9708004582938441e-05,1.4869748167072327e-07,1.2719202621569003e-16,4.5775667985222375e-16,2.2929868617541516e-16,7.1054273576010019e-15,8.4559810701819827e-15,5.7314689424812180e+01,160,4.85638075e+00
