method,h,steps,max_energy_relative_error,max_body_momentum_norm_relative_error,max_spatial_momentum_vector_error,max_orthogonality_fro,total_newton_iterations,runtime_sec
lie_euler,0.2,500,inf,inf,inf,4.9578045866697726e-15,0,7.48344890e-02
lie_euler,0.1,1000,inf,inf,inf,6.2903452735607251e-15,0,7.63468720e-02
lie_euler,0.05,2000,inf,inf,inf,8.3818273566795113e-15,0,1.66371885e-01
rkmk4,0.2,500,1.1156450804440598e-03,3.1220867140769291e-04,1.3240080256885077e-03,6.1926438809957646e-15,0,1.62890993e-01
rkmk4,0.1,1000,3.5732275483869206e-05,1.0136033706736374e-05,4.9269458125808169e-05,8.7660187306301964e-15,0,3.13533019e-01
rkmk4,0.05,2000,1.1485343547889053e-06,3.3451533139501774e-07,2.2507959547989698e-06,1.2434769215650106e-14,0,4.35222917e-01
lie_midpoint,0.2,500,8.7029732297081257e-12,6.0060072065614052e-12,4.4917709209545936e-02,3.3707871528820649e-15,1899,3.76774160e-01
lie_midpoint,0.1,1000,3.1900548155581051e-14,1.5041561949255141e-14,1.1271511960194876e-02,5.8374603851451566e-15,3000,5.46286848e-01
lie_midpoint,0.05,2000,8.0590858498310021e-15,4.8663876894648985e-15,2.8171085935399525e-03,9.2343266100870202e-15,6000,1.15482991e+00
