case,method,h,t_final,final_energy_relative_change,max_step_energy_increase,max_friction_power,min_friction_power,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_quaternion_unit_error,total_newton_iterations,runtime_sec
smooth_eps_0p50,quaternion_gauss_lie4_endpoint_jax,0.05,5,-6.4371075061879876e-02,0.0000000000000000e+00,-4.6835653905573389e-03,-5.7841493473397587e-01,1.0702572991034433e-14,3.1719083957209911e-13,1.1102230246251565e-16,394,3.48676318e-01
smooth_eps_0p50,quaternion_gauss_lie6_endpoint_jax,0.05,5,-6.4371380879523266e-02,0.0000000000000000e+00,-4.6838492743933122e-03,-5.7841502016727109e-01,2.2377260456559048e-16,1.2413446533917273e-15,1.1102230246251565e-16,400,4.71164579e-01
sharp_eps_0p05,quaternion_gauss_lie4_endpoint_jax,0.05,5,-6.6576809522683522e-02,0.0000000000000000e+00,-1.4689519107682620e-02,-5.8343343520926816e-01,6.3119376740880541e-15,1.7685174996603483e-13,2.2204460492503131e-16,391,3.95957627e-01
sharp_eps_0p05,quaternion_gauss_lie6_endpoint_jax,0.05,5,-6.6578968296365601e-02,0.0000000000000000e+00,-1.4731525582530930e-02,-5.8343623385422916e-01,6.4055274495706777e-15,1.6476618636762469e-13,2.2204460492503131e-16,395,5.73255312e-01
