case,solver,h,status,error_message,steps,runtime_sec,pattern_build_sec,dense_validation_pattern_sec,total_newton_iterations,total_linear_solves,total_jacobian_assemblies,total_residual_eval_sec,total_jacobian_eval_sec,total_linear_solve_sec,avg_jacobian_eval_sec,avg_linear_solve_sec,pattern_nnz,pattern_density,colors,pattern_missing_vs_dense,pattern_extra_vs_dense,position_error_vs_dense,velocity_error_vs_dense,max_linear_residual_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_position_acceleration_constraint_norm,max_stage_orientation_acceleration_constraint_norm,max_quaternion_unit_error
double_prismatic_smooth,dense_jacfwd_csr,0.02,ok,,4,1.51133979e-01,0.00000000e+00,3.16810180e+00,24,20,20,2.1784960816148669e-02,4.2202093056403100e-02,6.4919778378680348e-03,2.1101046528201549e-03,3.2459889189340174e-04,2439,1.2807183364839320e-01,90,0,0,0.0000000000000000e+00,0.0000000000000000e+00,2.4774177633422236e-13,5.1865063651335386e-16,5.2339010643651442e-17,8.0825456208805303e-16,1.4820856885136769e-60,0.0000000000000000e+00
double_prismatic_smooth,generated_block_jvp_pruned,0.02,ok,,4,1.89512904e-01,5.94909099e+00,3.16810180e+00,24,20,20,2.2604638070333749e-02,8.2534323038998991e-02,5.5813889484852552e-03,4.1267161519499499e-03,2.7906944742426274e-04,2439,1.2807183364839320e-01,90,0,0,0.0000000000000000e+00,3.3993498887762956e-17,2.7844060801892419e-13,5.1865063651335386e-16,8.6545143851885091e-17,9.2263808474350236e-16,1.9532441688207845e-60,0.0000000000000000e+00
double_prismatic_sharp,dense_jacfwd_csr,0.02,ok,,4,1.59686192e-01,0.00000000e+00,3.86552444e+00,24,20,20,2.7006903022993356e-02,4.8244542849715799e-02,5.4446200956590474e-03,2.4122271424857900e-03,2.7223100478295236e-04,2439,1.2807183364839320e-01,90,0,0,0.0000000000000000e+00,0.0000000000000000e+00,2.5365054771363452e-13,5.2291881637681298e-16,5.5943151141397620e-17,6.0044490637300822e-16,1.2279018214927332e-60,0.0000000000000000e+00
double_prismatic_sharp,generated_block_jvp_pruned,0.02,ok,,4,1.82545446e-01,1.16726335e-01,3.86552444e+00,24,20,20,2.5533055188134313e-02,7.2532099962700158e-02,4.8243799828924239e-03,3.6266049981350081e-03,2.4121899914462120e-04,2439,1.2807183364839320e-01,90,0,0,0.0000000000000000e+00,5.2502259312378467e-17,2.2352901450092450e-13,5.2291881637681298e-16,9.4776883422296558e-17,7.1088959579333461e-16,5.0852350014237834e-61,0.0000000000000000e+00
