case,method,h,t_final,final_energy_relative_change,max_step_energy_increase,max_friction_power,min_friction_power,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,total_newton_iterations,runtime_sec
smooth_eps_0p50,endpoint_fd,0.05,5,-6.4371075061879876e-02,0.0000000000000000e+00,-4.6835653905574282e-03,-5.7841493473397521e-01,1.0621830692405972e-14,3.1701516435581169e-13,394,1.10972673e+01
smooth_eps_0p50,endpoint_jax,0.05,5,-6.4371075061879876e-02,0.0000000000000000e+00,-4.6835653905574178e-03,-5.7841493473397521e-01,1.0746964612993046e-14,3.1696430357698232e-13,394,3.13303680e-01
sharp_eps_0p05,endpoint_fd,0.05,5,-6.6576809522683855e-02,0.0000000000000000e+00,-1.4689519107682906e-02,-5.8343343520926816e-01,6.1344845538438543e-15,1.7660599481140263e-13,391,1.06848279e+01
sharp_eps_0p05,endpoint_jax,0.05,5,-6.6576809522684507e-02,0.0000000000000000e+00,-1.4689519107682968e-02,-5.8343343520926805e-01,6.1815225040939963e-15,1.7654666036357141e-13,391,3.62156433e-01
