method,h,steps,max_energy_relative_error,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_constraint_norm,max_stage_force_residual_norm,max_stage_torque_residual_norm,max_lambda_norm,total_newton_iterations,runtime_sec
reduced_rkmk4,0.1,200,1.7370725495438990e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,7.56150820e-02
reduced_rkmk4,0.05,400,5.5266161087699321e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0,1.89800000e-01
absolute_gauss_lie4_projected,0.1,200,1.9370471149904825e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.4980018054066022e-16,7.3777640556099254e-15,4.6682256431088524e-15,5.6584969742448351e+01,800,1.58283480e+01
absolute_gauss_lie4_projected,0.05,400,1.3407908072941757e-01,0.0000000000000000e+00,0.0000000000000000e+00,2.4980018054066022e-16,3.5527136788005009e-14,5.5521453109702386e-12,5.7038357880861554e+01,1596,3.01857412e+01
absolute_gauss_lie4_vc_projected,0.1,200,1.7351951781205278e-02,0.0000000000000000e+00,0.0000000000000000e+00,2.5172027167143304e-16,7.1054273576010019e-15,6.2219905747833487e-15,5.8522303880400159e+01,800,1.67787920e+01
absolute_gauss_lie4_vc_projected,0.05,400,2.5252074326907663e-03,0.0000000000000000e+00,0.0000000000000000e+00,4.0792198665315552e-16,1.4148545625218303e-13,9.8630266611873588e-12,5.8404397460209111e+01,1598,3.05160631e+01
absolute_gauss_lie4_acc_projected,0.1,200,2.4321820692806219e-06,0.0000000000000000e+00,0.0000000000000000e+00,2.3055512673781017e-16,7.1054273576010019e-15,6.2063392620765848e-15,5.8272020386008933e+01,800,1.53366609e+01
absolute_gauss_lie4_acc_projected,0.05,400,1.4946732277438074e-07,0.0000000000000000e+00,0.0000000000000000e+00,3.2664727895544647e-15,1.6346344111649587e-13,9.3076925596213018e-12,5.8299776127282072e+01,1593,3.19859994e+01
