scenario,friction_case,policy,h,t_final,status,error_message,steps,runtime_sec,refresh_scan_sec,dense_validation_pattern_sec,initial_cache_nnz,refresh_active_nnz,refresh_added_entries,final_cache_nnz,dense_validation_nnz,final_missing_vs_dense,final_extra_vs_dense,final_colors,dense_colors,orientation_error_vs_dense_rad,omega_error_vs_dense,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_pivot_acceleration_constraint_norm,max_stage_axis_acceleration_constraint_norm,max_quaternion_unit_error
smooth_nominal_long,triple_revolute_smooth,cached_refresh_union,0.02,0.12,ok,,6,8.20889950e-02,9.00594729e-02,3.27337716e+00,930,930,0,930,930,0,0,11,11,0.0000000000000000e+00,0.0000000000000000e+00,1.2887244931959516e-13,2.2876031720908242e-12,2.6014951165115067e-12,0.0000000000000000e+00,1.1102230246251565e-16
sharp_nominal_long,triple_revolute_sharp,cached_refresh_union,0.02,0.12,ok,,6,8.06925570e-02,8.93214980e-02,3.94171274e+00,930,930,0,930,930,0,0,11,11,1.1541917439313829e-52,3.1401849173675503e-16,1.3373204335270488e-13,9.9971178401751313e-12,2.3912729792709994e-13,0.0000000000000000e+00,1.1102230246251565e-16
smooth_perturbed_long,triple_revolute_smooth,cached_refresh_union,0.02,0.12,ok,,6,9.91922120e-02,9.88243930e-02,4.43646700e+00,930,930,0,930,930,0,0,11,11,3.5287317231703258e-68,1.5700924586837752e-16,1.6031744452575143e-13,2.7119565283910662e-12,2.7914563037159814e-15,0.0000000000000000e+00,1.1102230246251565e-16
sharp_perturbed_long,triple_revolute_sharp,cached_refresh_union,0.02,0.12,ok,,6,1.19094005e-01,9.45009030e-02,3.48217423e+00,930,930,0,930,930,0,0,11,11,5.7046811892711549e-52,2.7755575615628914e-17,4.7321188711183201e-13,9.1329955445115636e-12,2.3456721545464582e-13,0.0000000000000000e+00,1.1102230246251565e-16
smooth_nominal_long,triple_revolute_smooth,stale_cache_refresh_audit,0.02,0.12,ok,,6,1.14374497e-01,1.12223989e-01,3.40117118e+00,907,930,23,930,930,0,0,11,11,0.0000000000000000e+00,0.0000000000000000e+00,1.2887244931959516e-13,2.2876031720908242e-12,2.6014951165115067e-12,0.0000000000000000e+00,1.1102230246251565e-16
