eps,method,h,steps,orientation_error_rad,omega_l2_error,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_quaternion_unit_error,final_energy_relative_change,max_step_energy_increase,total_newton_iterations,runtime_sec
0.05,quaternion_gauss_lie4_endpoint_jax,0.1,10,4.9324541344081213e-05,1.1539391015089931e-03,1.6883057536160649e-16,3.5108334685767012e-16,0.0000000000000000e+00,-1.5846188548398980e-02,0.0000000000000000e+00,40,4.27373710e-02
0.05,quaternion_gauss_lie4_endpoint_jax,0.05,20,3.3171635541279520e-05,1.6083532892885026e-04,3.1524274001217121e-16,4.3355595091313670e-16,1.1102230246251565e-16,-1.5855747575824287e-02,0.0000000000000000e+00,80,7.87043650e-02
0.05,quaternion_gauss_lie4_endpoint_jax,0.025,40,2.2349439759432249e-06,3.2155184266049040e-05,2.0955000055363631e-16,5.5192434938480504e-15,1.1102230246251565e-16,-1.5855392406380769e-02,0.0000000000000000e+00,120,1.39658656e-01
0.05,quaternion_gauss_lie6_endpoint_jax,0.1,10,1.6358161593783569e-04,5.1701560872453455e-04,3.0404709722440588e-16,2.7755575615628914e-16,1.1102230246251565e-16,-1.5855107235976787e-02,0.0000000000000000e+00,40,5.33664990e-02
0.05,quaternion_gauss_lie6_endpoint_jax,0.05,20,8.6655674264777400e-06,9.6702103311631951e-05,2.2204460492503131e-16,3.3306690738754696e-16,2.2204460492503131e-16,-1.5855045390951519e-02,0.0000000000000000e+00,80,1.15825342e-01
0.05,quaternion_gauss_lie6_endpoint_jax,0.025,40,7.5658651801587180e-07,4.6536808348640259e-06,2.2887833992611187e-16,4.9764593808134904e-15,1.1102230246251565e-16,-1.5855160558322368e-02,0.0000000000000000e+00,120,1.65976689e-01
0.025,quaternion_gauss_lie4_endpoint_jax,0.1,10,5.5242132786919105e-05,1.8478103853327792e-03,1.2719202621569003e-16,3.3766115072321297e-16,1.1102230246251565e-16,-1.5849870979129443e-02,0.0000000000000000e+00,40,3.52449350e-02
0.025,quaternion_gauss_lie4_endpoint_jax,0.05,20,1.3406665357396822e-05,1.1622836590136135e-04,1.5944364291470360e-16,3.1888728582940721e-16,1.1102230246251565e-16,-1.5859909890113263e-02,0.0000000000000000e+00,80,6.55592930e-02
0.025,quaternion_gauss_lie4_endpoint_jax,0.025,40,2.6575767635156048e-05,1.1361087398639976e-04,2.5438405243138006e-16,1.4741790738600931e-14,1.1102230246251565e-16,-1.5859785676969627e-02,0.0000000000000000e+00,120,1.20762234e-01
0.025,quaternion_gauss_lie6_endpoint_jax,0.1,10,3.0551701987745070e-04,9.9751121551662557e-04,1.5944364291470360e-16,3.3306690738754696e-16,0.0000000000000000e+00,-1.5859343971673594e-02,0.0000000000000000e+00,40,9.52807670e-02
0.025,quaternion_gauss_lie6_endpoint_jax,0.05,20,1.7692050170297912e-05,3.2616616116111339e-04,2.0206364052201326e-16,3.5217877337871740e-16,0.0000000000000000e+00,-1.5858639240107893e-02,0.0000000000000000e+00,80,9.12598670e-02
0.025,quaternion_gauss_lie6_endpoint_jax,0.025,40,6.2862396713908799e-06,3.1639077583597736e-05,3.8157607864707012e-16,4.1068170524120429e-15,1.1102230246251565e-16,-1.5859306278405996e-02,0.0000000000000000e+00,121,1.45300511e-01
