case,solver,pattern_source,h,t_final,status,error_message,steps,runtime_sec,pattern_build_sec,validation_dense_pattern_build_sec,total_newton_iterations,total_linear_solves,total_jacobian_assemblies,total_residual_eval_sec,total_jacobian_eval_sec,total_linear_solve_sec,avg_jacobian_eval_sec,avg_linear_solve_sec,pattern_nnz,pattern_density,colors,cached_extra_vs_validation_dense,cached_missing_vs_validation_dense,orientation_error_vs_dense_rad,omega_error_vs_dense,max_linear_residual_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_pivot_acceleration_constraint_norm,max_stage_axis_acceleration_constraint_norm,max_quaternion_unit_error
double_revolute_smooth,dense_jacfwd_csr,dense,0.02,0.12,ok,,6,9.66994150e-02,0.00000000e+00,1.73340511e+00,24,18,18,2.1528316894546151e-02,2.8655325819272548e-02,5.3491798462346196e-03,1.5919625455151415e-03,2.9717665812414553e-04,582,3.0560806553245116e-02,11,0,0,0.0000000000000000e+00,0.0000000000000000e+00,3.0306301052155352e-14,3.7082861704509467e-14,5.7897102649854814e-13,8.2871006764575876e-13,0.0000000000000000e+00,1.1102230246251565e-16
double_revolute_smooth,cached_jvp_pruned,cached_from_double_revolute_smooth,0.02,0.12,ok,,6,6.48263290e-02,5.66256580e-02,1.73340511e+00,24,18,18,7.5406931573525071e-03,8.8740239734761417e-03,2.7331391465850174e-03,4.9300133185978560e-04,1.5184106369916763e-04,582,3.0560806553245116e-02,11,0,0,2.3040787627404448e-51,1.2412670766236366e-16,2.7634352164620176e-14,3.7082861704509467e-14,5.7899988349169216e-13,8.2955677183371045e-13,0.0000000000000000e+00,1.1102230246251565e-16
double_revolute_sharp,dense_jacfwd_csr,dense,0.02,0.12,ok,,6,1.01365102e-01,0.00000000e+00,2.04291412e+00,25,19,19,1.2970281997695565e-02,3.6703692923765630e-02,4.7282829182222486e-03,1.9317733117771383e-03,2.4885699569590782e-04,582,3.0560806553245116e-02,11,0,0,0.0000000000000000e+00,0.0000000000000000e+00,2.1742980806934861e-14,3.5983099398357761e-14,1.0719550277841447e-11,1.1933513528566256e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_sharp,cached_jvp_pruned,cached_from_double_revolute_smooth,0.02,0.12,ok,,6,6.79248980e-02,5.66256580e-02,2.04291412e+00,25,19,19,8.7807230884209275e-03,9.1197698493488133e-03,2.8847241774201393e-03,4.7998788680783227e-04,1.5182758828527048e-04,582,3.0560806553245116e-02,11,0,0,0.0000000000000000e+00,0.0000000000000000e+00,2.1742980806934861e-14,3.5983099398357761e-14,1.0719550277841447e-11,1.1933513528566256e-13,0.0000000000000000e+00,0.0000000000000000e+00
