model,method,code,t_end,h,steps,status,pos_final_linf,vel_final_linf,runtime_sec,avg_iterations,max_iterations,tolerance,total_iterations,max_position_constraint_norm,max_velocity_constraint_norm
double_pendulum,2022 half-implicit rA,"sbel-reproducibility 2022/HalfImplicit_JCND, dynamics mode, source tolerance policy",3.0,0.0125,240,ok,1.0565718134384396,3.4338286572770986,0.26179406902519986,6.219917012448133,10.0,6.399999999999999e-07,,,
double_pendulum,2022 half-implicit rA,"sbel-reproducibility 2022/HalfImplicit_JCND, dynamics mode, source tolerance policy",3.0,0.01,300,ok,0.9575857784264024,3.3971540230364887,0.3151175209786743,5.750830564784053,9.0,1e-06,,,
double_pendulum,2022 half-implicit rA,"sbel-reproducibility 2022/HalfImplicit_JCND, dynamics mode, source tolerance policy",3.0,0.002,1500,ok,0.3185288177614525,1.1001012353598814,1.0172151000006124,3.7068620919387074,5.0,2.5e-05,,,
double_pendulum,2022 half-implicit rA,"sbel-reproducibility 2022/HalfImplicit_JCND, dynamics mode, source tolerance policy",3.0,0.001,3000,ok,0.16879425737737996,0.532403807128063,1.7525544600212015,3.096967677440853,4.0,0.0001,,,
double_pendulum,2022 half-implicit rA_half,"sbel-reproducibility 2022/HalfImplicit_JCND, dynamics mode, source tolerance policy",3.0,0.1,30,ok,5.757222875656705,6.885942245315388,0.09160519298166037,32.064516129032256,84.0,1e-10,,,
double_pendulum,2022 half-implicit rA_half,"sbel-reproducibility 2022/HalfImplicit_JCND, dynamics mode, source tolerance policy",3.0,0.05,60,ok,5.006847173005309,11.085245532478964,0.12877922499319538,23.131147540983605,58.0,1e-10,,,
double_pendulum,2022 half-implicit rA_half,"sbel-reproducibility 2022/HalfImplicit_JCND, dynamics mode, source tolerance policy",3.0,0.025,120,ok,1.3438716947696352,47.12330761877851,0.16446232300950214,13.84297520661157,66.0,1e-10,,,
double_pendulum,2022 half-implicit rA_half,"sbel-reproducibility 2022/HalfImplicit_JCND, dynamics mode, source tolerance policy",3.0,0.0125,240,ok,0.9028802729012151,6.922316629039731,0.2603545609745197,11.294605809128631,35.0,1e-10,,,
double_pendulum,2022 half-implicit rA_half,"sbel-reproducibility 2022/HalfImplicit_JCND, dynamics mode, source tolerance policy",3.0,0.01,300,ok,1.1233172240819385,50.33734425401457,0.3122790039633401,10.647840531561462,26.0,1e-10,,,
double_pendulum,2022 half-implicit rA_half,"sbel-reproducibility 2022/HalfImplicit_JCND, dynamics mode, source tolerance policy",3.0,0.002,1500,ok,4.26006115369965,151.86967785656796,1.1686373029951937,7.297135243171219,11.0,1e-10,,,
double_pendulum,2022 half-implicit rA_half,"sbel-reproducibility 2022/HalfImplicit_JCND, dynamics mode, source tolerance policy",3.0,0.001,3000,ok,1.9205966846833926,117.29755254061885,2.1186323080328293,6.438187270909697,9.0,1e-10,,,
double_pendulum,Gauss6/FullVA,local v029 double-revolute harness (AD-safe small-angle helpers),3.0,0.1,30,ok,0.00042883562403517317,0.0015137535629001775,19.24880466097966,4.5,,,135,1.130576891811472e-05,0.0003533593220590682
double_pendulum,Gauss6/FullVA,local v029 double-revolute harness (AD-safe small-angle helpers),3.0,0.05,60,ok,3.026716975274013e-06,9.83730977388575e-06,26.10779422800988,4.1,,,246,1.162204792552641e-07,3.5896839982659636e-06
double_pendulum,Gauss6/FullVA,local v029 double-revolute harness (AD-safe small-angle helpers),3.0,0.025,120,ok,5.3389777043832964e-09,1.7149429876184286e-08,50.07258906401694,4.0,,,480,1.960384134302933e-09,4.2912864662730435e-08
double_pendulum,Gauss6/FullVA,local v029 double-revolute harness (AD-safe small-angle helpers),3.0,0.0125,240,ok,8.12119260729105e-11,2.6589885848693484e-10,112.38485390995629,3.9291666666666667,,,943,3.110592942591867e-11,6.841656281212073e-10
double_pendulum,Gauss6/FullVA,local v029 double-revolute harness (AD-safe small-angle helpers),3.0,0.01,300,ok,2.1017854123783763e-11,7.086331521577449e-11,359.75685548898764,3.85,,,1155,8.174087292413717e-12,1.805106864350157e-10
double_pendulum,Gauss6/FullVA,local v029 double-revolute harness (AD-safe small-angle helpers),3.0,0.002,1500,ok,2.5623947408348613e-13,1.7634782523145986e-12,811.4798893269617,3.118,,,4677,2.588510636200085e-14,3.9880396743244683e-14
double_pendulum,Gauss6/FullVA,local v029 double-revolute harness (AD-safe small-angle helpers),3.0,0.001,3000,ok,2.1582735598713043e-13,1.6555645743210334e-12,2215.8150017880253,3.0,,,9000,5.830320120161123e-14,4.277698304736353e-14
