h,steps,mean_newton_iterations,max_newton_iterations,max_residual_norm,max_residual_over_h7,h7,max_reduced_collocation_defect,max_perp_component,max_factorization_defect,min_n_dot_axis
0.1,5,6.0,6,8.136884026255725e-12,8.136884026255723e-05,1.0000000000000004e-07,3.19647925905997e-08,5.590279472232989e-13,1.2333760970243234e-08,0.38585456048053324
0.05,10,6.0,6,3.5074776433916184e-13,0.000448957138354127,7.812500000000003e-10,2.991452641154524e-10,3.2023728339893768e-15,1.5843087791197743e-10,0.36314879135627
0.025,20,5.9,6,8.81868177173167e-12,1.4448528214805163,6.103515625000002e-12,1.3387194131020408e-11,6.414872575288138e-14,4.709680594237666e-12,0.3518007150221613
0.0125,40,5.725,6,2.704980827810827e-12,56.727559530051295,4.7683715820312517e-14,2.5088264798966975e-13,4.265337574760008e-15,8.669138516632976e-14,0.34611998389228865
0.00625,80,5.725,6,3.091476333831824e-12,8298.618593853536,3.7252902984619154e-16,7.328859741306815e-14,4.124295487574583e-15,1.3950292313171297e-15,0.3432780549890042
0.003125,160,5.71875,6,3.391384488528458e-12,1165270.8373113128,2.9103830456733714e-18,3.427813588530171e-15,5.333694441429199e-15,7.838317808037684e-16,0.3418567266908505
