h,steps,converged,runtime_sec,total_newton_iterations,mean_newton_iterations,max_position_constraint_norm,max_velocity_constraint_norm,max_acc_position_constraint_norm,max_acc_orientation_constraint_norm,max_quaternion_unit_error,final_position,final_orientation,final_velocity,final_angular_velocity,linf_position,linf_orientation,linf_velocity,linf_angular_velocity,order_final_position,order_final_orientation,order_final_velocity,order_final_angular_velocity
0.1,5,True,3.8875894200173207,30,6.0,9.804510577181098e-08,7.676782269596526e-16,5.575741811109711e-13,3.1884179791206502e-12,0.0,0.0002774980552359843,8.773901352599236e-05,0.0004958307519091387,0.0011038421687862546,0.0002774980552359843,8.773901352599236e-05,0.0006290008126157178,0.0011038421687862546,6.953229402732915,6.781110964486504,7.829283685227741,6.865642853523796
0.05,10,True,0.19693414197536185,60,6.0,1.5310299543989643e-09,1.257438917457626e-15,3.972054645195637e-15,1.1538790038474705e-14,2.220446049250313e-16,2.239387898020674e-06,7.977649342195365e-07,2.1801392050391493e-06,9.465477826538829e-06,2.239387898020674e-06,7.977649342195365e-07,2.933783043882699e-06,9.465477826538829e-06,4.577149399112736,4.823662425470972,3.483607809333951,4.71953298434491
0.025,20,True,0.38874188100453466,118,5.9,2.391479076983995e-11,1.188348526547132e-15,6.502078749373701e-14,2.8922650881582043e-13,2.220446049250313e-16,9.381452049011747e-08,2.8171363273157658e-08,1.9490087150452e-07,3.5927049194361164e-07,9.381452049011747e-08,2.8171363273157658e-08,4.465525261124486e-07,3.5927049194361164e-07,7.64427234375969,7.620782859528085,7.693220610121246,7.626609948670883
0.0125,40,True,0.7169788799947128,229,5.725,3.7368100546995637e-13,9.800993443868569e-14,4.7207330545682824e-15,1.5743444793301314e-14,2.220446049250313e-16,4.689373151752496e-10,1.4312768034883882e-10,9.41723946968444e-10,1.8179552510738162e-09,4.689373151752496e-10,1.4312768034883882e-10,3.305223310233999e-09,1.8179552510738162e-09,5.9755110476160835,5.974737647549509,5.979208162863542,5.974958001006923
0.00625,80,True,1.4533972550416365,458,5.725,6.25147411553124e-15,9.600673414075858e-14,4.636427468134552e-15,1.611746722108178e-14,2.220446049250313e-16,7.452581393226833e-12,2.2758748922031527e-12,1.49280337003957e-11,2.8902912474401538e-11,7.452581393226833e-12,2.2758748922031527e-12,4.900999176654629e-11,2.8902912474401538e-11,5.9870857496121435,6.004427638494385,6.000048259916771,6.023590822672386
0.003125,160,True,2.761695357039571,915,5.71875,3.004066637546255e-15,8.21095049736271e-15,4.463041323674983e-15,2.001223737622804e-14,2.220446049250313e-16,1.174936324238926e-13,3.5451576992250764e-14,2.3324272418328075e-13,4.442834017773289e-13,1.174936324238926e-13,3.5451576992250764e-14,7.874235690718244e-13,4.442834017773289e-13,nan,nan,nan,nan
