model,method,t_end,h,status,error_reference,pos_final_error,vel_final_error,runtime_sec,avg_iterations,source_csv
slider_crank,2021 public reps,3.0,0.01,ok,"public kinematics mode, h = 0.001",1.4788328894788094e-10,0.00852067945411511,1.2891935149673373,3.3266666666666667,ra2021_order_rows.csv
slider_crank,2021 public reps,3.0,0.001,ok,"public kinematics mode, h = 0.001",5.708183925534627e-11,0.0008712488697215637,7.762554882094264,1.475,ra2021_order_rows.csv
slider_crank,2021 public reps,3.0,0.0001,ok,"public kinematics mode, h = 0.001",5.134781488891349e-15,8.731349309815117e-05,64.41053697699681,1.0005,ra2021_order_rows.csv
slider_crank,2021 public reps (timing run),3.0,0.001,ok,none (timing row),nan,nan,9.306522367987782,1.475,ra2021_public_timing_rows.csv
slider_crank,2021 public rp,3.0,0.01,ok,"public kinematics mode, h = 0.001",1.3449910629681483e-10,0.0085206780415934,1.266771405003965,2.94,ra2021_order_rows.csv
slider_crank,2021 public rp,3.0,0.001,ok,"public kinematics mode, h = 0.001",2.744038329893783e-11,0.0008712487974356087,8.35868602595292,1.1406666666666667,ra2021_order_rows.csv
slider_crank,2021 public rp,3.0,0.0001,ok,"public kinematics mode, h = 0.001",3.1363800445660672e-15,8.731349433038771e-05,79.26679354195949,1.0001,ra2021_order_rows.csv
slider_crank,2021 public rp (timing run),3.0,0.001,ok,none (timing row),nan,nan,10.070111277978867,1.1406666666666667,ra2021_public_timing_rows.csv
slider_crank,Gauss6/FullVA,3.0,0.01,ok,local Gauss6/FullVA h = 0.001,9.159339953157541e-16,1.8318679906315083e-15,0.9932005520677194,4.42,gauss6_fullva_public_horizon_closed_loop_rows.csv
slider_crank,Gauss6/FullVA,3.0,0.001,reference row (h = h_ref),local Gauss6/FullVA h = 0.001,nan,nan,10.504753684042953,4.001,gauss6_fullva_public_horizon_closed_loop_rows.csv
slider_crank,Gauss6/FullVA,3.0,0.0001,ok,local Gauss6/FullVA h = 0.001,1.4155343563970746e-15,3.0531133177191805e-15,89.48545099701732,3.0001,gauss6_fullva_public_horizon_closed_loop_rows.csv
