h,steps,newton_tolerance,all_steps_converged,total_newton_iterations,max_final_residual_norm,max_reduced_collocation_defect_s,max_reduced_collocation_defect_sdot,max_reduced_collocation_defect_theta,max_reduced_collocation_defect_thetadot,max_reduced_collocation_defect,max_perpendicular_rel_point,max_perpendicular_rel_vel,max_perpendicular_rel_acc,max_factorization_mismatch,min_abs_n_dot_axis,identity_within_threshold
0.04,2,1e-13,True,12,6.784541542364009e-14,9.01362318117549e-15,1.734723475976807e-16,3.8502729650391476e-16,2.7755575615628914e-16,9.01362318117549e-15,2.2473876566261383e-16,9.71445146547012e-17,1.457101633618084e-15,9.045679844807099e-15,0.999739759215005,True
0.02,4,1e-13,True,24,1.5298554438089672e-14,4.189357194483989e-16,1.6653345369377348e-16,5.450826422170874e-16,2.2985086056692694e-16,5.450826422170874e-16,2.486410087150353e-16,1.2586013583571652e-16,1.88411095042053e-15,3.77937564520003e-16,0.9997026696066872,True
0.01,8,1e-13,True,48,1.5944462873071218e-14,1.5005358067199381e-16,5.759281940243e-16,4.3359955383126536e-16,5.134781488891349e-16,5.759281940243e-16,2.6945789820192466e-16,1.3092278833360675e-16,2.0350724194510405e-15,7.363700474920104e-17,0.9996827012754381,True
