paper_method,source_method,expected_order,t_final,reference_h,comparison_h,velocity_order_text,coordinate_order_text,step_residual_rows,finest_h,finest_velocity_error,finest_coordinate_error,max_candidate_step_residual_norm,max_hinge_position_constraint_norm,max_hinge_velocity_constraint_norm,max_translational_balance_residual_norm,max_axis_projected_rotational_residual_abs,source_policy_row_completed,accepted_use
tfe2026_Newmark_beta,Newmark_beta,2,10.0,0.0001,"[0.1, 0.05, 0.025]","1.991, 1.998","2.028, 2.007",700,0.025,0.0046418767641238645,0.0019561762946520567,9.964575016662981e-13,0.0,0.0,5.684341886080802e-14,1.4394041514265155e-13,False,full_T10_absolute_dae_lift_candidate_not_source_policy
tfe2026_TFE_m1,TFE_m1,1,10.0,0.0001,"[0.1, 0.05, 0.025]","1.276, -0.077","2.623, 5.795",700,0.025,0.006800477507781233,5.2243372142601885e-05,9.086065233532281e-13,0.0,0.0,5.684341886080802e-14,1.6071866060229922e-13,False,full_T10_absolute_dae_lift_candidate_not_source_policy
tfe2026_TFE_m2,TFE_m2,3,10.0,0.0001,"[0.1, 0.05, 0.025]","2.929, 2.966","2.701, 2.871",700,0.025,2.3487406115574316e-06,3.2225890933546e-07,3.3458397372908554e-11,0.0,0.0,5.684341886080802e-14,1.4337142584253115e-13,False,full_T10_absolute_dae_lift_candidate_not_source_policy
tfe2026_trapezoidal,trapezoidal,2,10.0,0.0001,"[0.1, 0.05, 0.025]","1.993, 1.998","2.021, 2.005",700,0.025,0.003558222012111756,0.0015041624795846253,9.774845057279062e-13,0.0,0.0,5.684341886080802e-14,1.3129775044973258e-13,False,full_T10_absolute_dae_lift_candidate_not_source_policy
