policy,paper_method,source_method,expected_order,nominal_h,effective_h,steps,final_partial_h,terminal_time,terminal_time_offset_from_T,coordinate_error_q,velocity_error_v,frobenius_error_norm_eta,max_residual_norm,total_newton_iterations
algorithm_literal_fixed_h_until_tn_ge_tfinal,tfe2026_trapezoidal,trapezoidal,2,0.006,0.006,1667,0.0,10.002,0.002000000000000668,8.613395686474234e-05,0.00020521840096288102,0.00012181180994133097,8.222129613713458e-13,1667.0
algorithm_literal_fixed_h_until_tn_ge_tfinal,tfe2026_trapezoidal,trapezoidal,2,0.003,0.003,3334,0.0,10.002,0.002000000000000668,2.1532308347449458e-05,5.1305427573034024e-05,3.0451282493586568e-05,9.497229928525828e-13,3328.0
floor_horizon,tfe2026_Newmark_beta,Newmark_beta,2,0.012,0.012,833,0.0,9.996,-0.0039999999999995595,0.00045432805916734154,0.0010680056310534702,0.0006425168975150856,9.865615556594547e-13,1041.0
floor_horizon,tfe2026_Newmark_beta,Newmark_beta,2,0.006,0.006,1666,0.0,9.996,-0.0039999999999995595,0.00011355022750558774,0.000267023725961657,0.00016058427166265309,8.375554551141379e-13,1666.0
floor_horizon,tfe2026_Newmark_beta,Newmark_beta,2,0.003,0.003,3333,0.0,9.999,-0.0009999999999994458,2.8189041961557137e-05,6.684530016931589e-05,3.986532545101149e-05,9.486371985246574e-13,3327.0
floor_horizon,tfe2026_TFE_m1,TFE_m1,1,0.012,0.012,833,0.0,9.996,-0.0039999999999995595,0.0004190632923730675,0.004156230682434092,0.0005926449872301804,9.912071163853398e-13,1556.0
floor_horizon,tfe2026_TFE_m1,TFE_m1,1,0.006,0.006,1666,0.0,9.996,-0.0039999999999995595,0.0002976897251336652,0.0022837340214019175,0.00042099684510861664,9.805489753489383e-13,3056.0
floor_horizon,tfe2026_TFE_m1,TFE_m1,1,0.003,0.003,3333,0.0,9.999,-0.0009999999999994458,0.0001672836939992095,0.0011936822141058734,0.0002365748685417386,9.967582315084655e-13,5965.0
floor_horizon,tfe2026_TFE_m2,TFE_m2,3,0.012,0.012,833,0.0,9.996,-0.0039999999999995595,3.828768457836418e-08,2.6272092346069087e-07,5.4146962779059813e-08,1.3110774791879058e-10,1577.0
floor_horizon,tfe2026_TFE_m2,TFE_m2,3,0.006,0.006,1666,0.0,9.996,-0.0039999999999995595,4.883464299609841e-09,3.3025783663376274e-08,6.906261487494356e-09,6.110477701140748e-10,3216.0
