case,h,t_final,steps,c_eta,eta_target,status,all_steps_ok,total_newton_iterations,max_step_newton_iterations,max_final_residual_norm,max_final_residual_over_h7,target_over_h7,max_linear_residual_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_position_acceleration_constraint_norm,max_stage_orientation_acceleration_constraint_norm,min_final_jacobian_rank,max_final_jacobian_condition,runtime_sec
cylindrical_smooth,0.04,0.08,2,10000.0,1.6384000000000003e-06,ok,True,12,6,6.392846145480201e-14,0.00039018836337159423,10000.0,3.648968055822179e-14,5.883182878573437e-12,2.406264058656221e-16,1.897149936107019e-15,3.593021951147627e-15,132,1210.2099474581094,5.699739374977071
cylindrical_smooth,0.02,0.08,4,10000.0,1.2800000000000002e-08,ok,True,24,6,1.2863475643977816e-14,0.010049590346857666,10000.0,4.5165482645008526e-14,9.194753514922942e-14,1.3709476338477074e-16,1.7772239894833365e-15,4.9836405400980686e-15,132,1239.4439290575287,1.2812819929677062
cylindrical_smooth,0.01,0.08,8,10000.0,1.0000000000000002e-10,ok,True,48,6,1.5234716561199218e-14,1.5234716561199215,10000.0,4.411606581759913e-14,1.4662811475967605e-15,2.9821083120606634e-14,2.6184557666721354e-15,6.505718553579946e-15,132,1238.466229919247,2.46967126900563
cylindrical_smooth,0.005,0.08,16,10000.0,7.812500000000001e-13,ok,True,96,6,1.6475842659824583e-14,210.89078604575462,10000.0,5.530052850213943e-14,1.7185556723413079e-15,5.333632945655426e-16,2.0740677722252305e-15,5.327827886020114e-15,132,1240.8925774264417,5.380456232989673
