case,t_final,h,orientation_difference_rad,omega_difference_l2,final_energy_relative_difference,quaternion_runtime_sec,so3_runtime_sec,runtime_ratio_quaternion_over_so3,quaternion_max_constraint,so3_max_constraint
smooth_eps_0p50,2,0.05,6.1768488687114209e-16,6.7564306040126289e-16,-4.8919202022545960e-16,1.32498560e-01,8.59745213e-01,1.54113751e-01,2.0206364052201326e-16,1.3092278833360675e-16
smooth_eps_0p50,5,0.05,1.7705389443799076e-15,5.5123998667154082e-15,0.0000000000000000e+00,4.47267186e-01,3.76082688e-01,1.18927885e+00,1.0702572991034433e-14,1.0746964612993046e-14
sharp_eps_0p05,2,0.05,1.6095654477215416e-15,2.8503570777005385e-15,6.5572547391923308e-16,1.45694644e-01,1.47950898e-01,9.84749980e-01,3.1524274001217121e-16,1.3947004136484323e-16
sharp_eps_0p05,5,0.05,2.9958877366497822e-15,3.8085868729946158e-15,-9.8532293435482643e-16,3.85357469e-01,3.42094272e-01,1.12646572e+00,6.3119376740880541e-15,6.1815225040939963e-15
