case,method,h,status,error_message,steps,orientation_error_rad,omega_l2_error,runtime_sec,total_newton_iterations,max_raw_endpoint_constraint_norm,max_raw_endpoint_velocity_constraint_norm,max_endpoint_pivot_velocity_constraint_norm,max_endpoint_axis_velocity_constraint_norm,max_stage_pivot_velocity_constraint_norm,max_stage_axis_velocity_constraint_norm,max_stage_pivot_acceleration_constraint_norm,max_stage_axis_acceleration_constraint_norm,max_stage_acceleration_constraint_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_projection_position_correction,max_projection_orientation_correction_rad,max_projection_velocity_correction,max_projection_omega_correction,max_stage_constraint_norm,max_stage_velocity_constraint_norm,max_lambda_norm,max_stage_friction_power,final_energy_relative_change,max_step_energy_increase,max_quaternion_unit_error
absolute_revolute_smooth,abs_revolute_gauss4,0.05,ok,,20,2.3550153730701531e-01,2.2351907621660714e+00,1.90741448e-01,98,8.5659523027106831e-04,3.1314778734042474e+00,3.1314778734042474e+00,0.0000000000000000e+00,5.9169382794498529e-02,0.0000000000000000e+00,2.1479530421231735e+02,0.0000000000000000e+00,2.1479530421231735e+02,8.5659523027106831e-04,3.1314778734042474e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,5.9169382794498529e-02,6.2911417146456279e+02,-4.2740767250496393e-02,2.7585483121734378e-01,1.0148754459467799e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4,0.025,ok,,40,4.0966998408386518e-01,1.7926149441809891e+00,2.89830949e-01,199,1.8195094711207134e-04,2.4792032618068767e+00,2.4792032618068767e+00,0.0000000000000000e+00,2.5208605448843589e-02,0.0000000000000000e+00,3.4190626915489361e+02,0.0000000000000000e+00,3.4190626915489361e+02,1.8195094711207134e-04,2.4792032618068767e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-16,2.5208605448843589e-02,1.0410149953521600e+03,-4.4957168740625145e-03,-1.0461143233474247e-01,2.8999158542985271e-01,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4,0.0125,ok,,80,6.3061462139855240e-01,1.2079272732924724e+00,5.50470711e-01,405,3.6471331730788709e-05,1.7429477216795202e+00,1.7429477216795202e+00,0.0000000000000000e+00,1.0106229819741144e-02,0.0000000000000000e+00,4.8202291243841205e+02,0.0000000000000000e+00,4.8202291243841205e+02,3.6471331730788709e-05,1.7429477216795202e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,1.0106229819741144e-02,1.5275551688655651e+03,-4.4528074703923835e-04,-4.4345428351394522e-01,6.7158017201450093e-02,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6,0.05,ok,,20,4.4473913704728373e-06,4.1553391808243509e-02,1.62354774e-01,80,8.0206029414678691e-06,4.3996622017237606e-02,4.3996622017237606e-02,0.0000000000000000e+00,9.3838638627645856e-04,0.0000000000000000e+00,5.2130653502186197e+00,0.0000000000000000e+00,5.2130653502186197e+00,8.0206029414678691e-06,4.3996622017237606e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,9.3838638627645856e-04,6.9642629037599491e+01,-6.7747198491320928e-04,-1.0034200990568311e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6,0.025,ok,,40,8.9453218476150182e-07,1.0235309938207857e-02,3.45709704e-01,158,5.1967861166062545e-07,1.1382557892076737e-02,1.1382557892076737e-02,0.0000000000000000e+00,1.2161017589534284e-04,0.0000000000000000e+00,2.7145467514515653e+00,0.0000000000000000e+00,2.7145467514515653e+00,5.1967861166062545e-07,1.1382557892076737e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,1.2161017589534284e-04,6.8094327298625018e+01,-5.9920497552537250e-04,-1.0043752389698846e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6,0.0125,ok,,80,1.1114653780582653e-07,1.9004317685258204e-03,6.78904119e-01,299,3.0646368391768660e-08,2.6628009216352988e-03,2.6628009216352988e-03,0.0000000000000000e+00,1.4319985007426003e-05,0.0000000000000000e+00,1.2741314673678412e+00,0.0000000000000000e+00,1.2741314673678412e+00,3.0646368391768660e-08,2.6628009216352988e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.3766115072321297e-16,1.4319985007426003e-05,6.7050264629112306e+01,-3.3243650589147688e-07,-1.0044293743609709e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4_pivotvc,0.05,ok,,20,9.1538839863854075e-06,8.1181914085418083e-05,1.83321834e-01,79,8.2443199406192765e-07,3.2103833695953377e-03,3.2103833695953377e-03,0.0000000000000000e+00,4.9650683064945462e-16,0.0000000000000000e+00,2.2092262823125183e-01,0.0000000000000000e+00,2.2092262823125183e-01,8.2443199406192765e-07,3.2103833695953377e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-16,4.9650683064945462e-16,6.6144078786885828e+01,-4.2573165789155300e-02,-1.0045506972098700e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4_pivotvc,0.025,ok,,40,8.8578203473149977e-07,4.8474617406586706e-04,2.62080537e-01,136,5.1621712462157625e-08,8.0272281253733675e-04,8.0272281253733675e-04,0.0000000000000000e+00,2.7744249029682645e-14,0.0000000000000000e+00,1.1107864429914094e-01,0.0000000000000000e+00,1.1107864429914094e-01,5.1621712462157625e-08,8.0272281253733675e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,2.7744249029682645e-14,6.6191231957786073e+01,-4.5419977126435127e-03,-1.0044195989802071e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4_pivotvc,0.0125,ok,,80,4.6019480399858649e-08,6.0598704183827123e-04,4.75622273e-01,240,3.2278484028257578e-09,2.0066136603224036e-04,2.0066136603224036e-04,0.0000000000000000e+00,8.8861199474166826e-16,0.0000000000000000e+00,5.5598446685675255e-02,0.0000000000000000e+00,5.5598446685675255e-02,3.2278484028257578e-09,2.0066136603224036e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1401849173675503e-16,8.8861199474166826e-16,6.6164482077681441e+01,-4.5416229847281318e-04,-1.0044298188534082e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6_pivotvc,0.05,ok,,20,2.5325671617718807e-06,6.2824108085841879e-04,1.59846792e-01,79,2.6993457933083673e-10,2.6230589253435455e-05,2.6230589253435455e-05,0.0000000000000000e+00,9.1551335970444749e-16,0.0000000000000000e+00,2.7287211003356347e-03,0.0000000000000000e+00,2.7287211003356347e-03,2.6993457933083673e-10,2.6230589253435455e-05,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7238012298709097e-16,9.1551335970444749e-16,6.6122930553594216e+01,-6.7693662322287093e-04,-1.0043988561083962e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6_pivotvc,0.025,ok,,40,2.3104356591557872e-08,6.4371193396188520e-04,3.25190788e-01,149,4.2770451415259206e-12,1.2917395716589799e-06,1.2917395716589799e-06,0.0000000000000000e+00,2.9271172690604173e-14,0.0000000000000000e+00,2.5578036816061830e-04,0.0000000000000000e+00,2.5578036816061830e-04,4.2770451415259206e-12,1.2917395716589799e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,2.9271172690604173e-14,6.6136331569211904e+01,-5.9671898560391596e-04,-1.0044306008300276e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6_pivotvc,0.0125,ok,,80,3.1653902770860500e-08,6.4289028860445296e-04,6.19606668e-01,240,6.6661196425418136e-14,6.8966901182251457e-08,6.8966901182251457e-08,0.0000000000000000e+00,8.8842233169731778e-16,0.0000000000000000e+00,2.6264325891875892e-05,0.0000000000000000e+00,2.6264325891875892e-05,6.6661196425418136e-14,6.8966901182251457e-08,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.7238012298709097e-16,8.8842233169731778e-16,6.6141811788188448e+01,-3.3313302519355389e-07,-1.0044299693690166e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4_pivotva,0.05,ok,,20,8.9814861190839931e-06,6.6391491165458671e-04,1.65906341e-01,78,8.2532249716135357e-07,2.0857954694047005e-06,2.0857954694047005e-06,0.0000000000000000e+00,1.0039387759899921e-14,0.0000000000000000e+00,2.0450816929348838e-12,0.0000000000000000e+00,2.0450816929348838e-12,8.2532249716135357e-07,2.0857954694047005e-06,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,1.0039387759899921e-14,6.6107724589613923e+01,-4.2833369982133281e-02,-1.0045489540981196e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4_pivotva,0.025,ok,,40,8.8378025341755893e-07,6.3231452476276984e-04,2.41870588e-01,120,5.1635546289220923e-08,1.2993037164927902e-07,1.2993037164927902e-07,0.0000000000000000e+00,8.9509041826236192e-16,0.0000000000000000e+00,1.4043333874306804e-14,0.0000000000000000e+00,1.4043333874306804e-14,5.1635546289220923e-08,1.2993037164927902e-07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0014830212433605e-16,8.9509041826236192e-16,6.6141499470938356e+01,-4.5312573862108874e-03,-1.0044195165593668e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss4_pivotva,0.0125,ok,,80,4.7312693773250819e-08,6.4308721918115985e-04,4.77322443e-01,240,3.2280642176270338e-09,8.1317483090589186e-09,8.1317483090589186e-09,0.0000000000000000e+00,4.9650683064945462e-16,0.0000000000000000e+00,3.2023728339893768e-15,0.0000000000000000e+00,3.2023728339893768e-15,3.2280642176270338e-09,8.1317483090589186e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-16,4.9650683064945462e-16,6.6135967035725059e+01,-4.5366266150793444e-04,-1.0044297480074911e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6_pivotva,0.05,ok,,20,2.5335485463903650e-06,6.1553793176145899e-04,1.90657597e-01,79,2.7172614279017815e-10,2.0609487419787357e-09,2.0609487419787357e-09,0.0000000000000000e+00,5.5511151231257827e-16,0.0000000000000000e+00,7.9274899591546416e-14,0.0000000000000000e+00,7.9274899591546416e-14,2.7172614279017815e-10,2.0609487419787357e-09,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,5.5511151231257827e-16,6.6123790846392041e+01,-6.7696278431668584e-04,-1.0043988558462165e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6_pivotva,0.025,ok,,40,2.3106663137863107e-08,6.4411151151093360e-04,2.32001203e-01,121,4.2840539886692723e-12,3.3766323030912561e-11,3.3766323030912561e-11,0.0000000000000000e+00,6.6613381477509392e-16,0.0000000000000000e+00,1.5125133470951371e-14,0.0000000000000000e+00,1.5125133470951371e-14,4.2840539886692723e-12,3.3766323030912561e-11,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1401849173675503e-16,6.6613381477509392e-16,6.6136541468224024e+01,-5.9672291943743867e-04,-1.0044306006508387e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6_pivotva,0.0125,ok,,80,3.1653817093241464e-08,6.4289260263548920e-04,5.10235087e-01,240,6.6443045146069593e-14,5.2125294247498783e-13,5.2125294247498783e-13,0.0000000000000000e+00,8.8991145241087413e-16,0.0000000000000000e+00,2.8086667748613610e-15,0.0000000000000000e+00,2.8086667748613610e-15,6.6443045146069593e-14,5.2125294247498783e-13,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-16,8.8991145241087413e-16,6.6141805563680066e+01,-3.3313308233040116e-07,-1.0044299693601071e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6_projected,0.05,ok,,20,2.3233441899786218e-04,3.5817471555670416e-03,1.39996819e-01,79,4.7706055802648588e-06,1.1443753457860506e-03,0.0000000000000000e+00,0.0000000000000000e+00,5.0818808686803514e-04,0.0000000000000000e+00,9.0441428750622513e-02,0.0000000000000000e+00,9.0441428750622513e-02,0.0000000000000000e+00,0.0000000000000000e+00,4.7706055802648588e-06,2.6138918989384471e-16,1.1443753457860506e-03,0.0000000000000000e+00,4.0029660424867210e-16,5.0818808686803514e-04,6.6162119333936815e+01,-6.7747198491320928e-04,-1.0072808654353223e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6_projected,0.025,ok,,40,3.4233802942074465e-05,1.4073721003567546e-03,2.79909131e-01,154,2.9997846583311080e-07,1.4409337709213817e-04,0.0000000000000000e+00,0.0000000000000000e+00,6.3883765067433666e-05,0.0000000000000000e+00,2.2696333049870041e-02,0.0000000000000000e+00,2.2696333049870041e-02,0.0000000000000000e+00,0.0000000000000000e+00,2.9997846583311080e-07,2.2119011379784644e-16,1.4409337709213817e-04,0.0000000000000000e+00,3.1401849173675503e-16,6.3883765067433666e-05,6.6216746485951433e+01,-5.9661678876060957e-04,-1.0048244039035760e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_smooth,abs_revolute_gauss6_projected,0.0125,ok,,80,5.4624785039839264e-06,8.3593267492290679e-04,6.25706378e-01,297,1.8738993221192061e-08,1.8001062772562934e-05,0.0000000000000000e+00,0.0000000000000000e+00,7.9808049796158288e-06,0.0000000000000000e+00,5.6702786159054611e-03,0.0000000000000000e+00,5.6702786159054611e-03,0.0000000000000000e+00,0.0000000000000000e+00,1.8738993221192061e-08,2.6132221058345072e-16,1.8001062772562934e-05,0.0000000000000000e+00,4.0029660424867210e-16,7.9808049796158288e-06,6.6151198826385041e+01,-3.3403080514428406e-07,-1.0044876117152972e-01,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss4,0.05,ok,,20,2.1953900512653593e-01,2.2786449352889244e+00,1.14497523e-01,98,8.6519726439728212e-04,3.1988905434360833e+00,3.1988905434360833e+00,0.0000000000000000e+00,5.9790942633027984e-02,0.0000000000000000e+00,2.1941231958283720e+02,0.0000000000000000e+00,2.1941231958283720e+02,8.6519726439728212e-04,3.1988905434360833e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,5.9790942633027984e-02,6.3660470918822568e+02,-5.5991420195941125e-02,3.1974573238985299e-01,1.0465439529157123e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss4,0.025,failed,"absolute revolute DAE solve failed, residual=5.033e+01",,,,2.24545099e-01,,,,,,,,,,,,,,,,,,,,,,,
absolute_revolute_sharp,abs_revolute_gauss4,0.0125,failed,"absolute revolute DAE solve failed, residual=5.861e+01",,,,5.51243942e-01,,,,,,,,,,,,,,,,,,,,,,,
absolute_revolute_sharp,abs_revolute_gauss6,0.05,ok,,20,2.2275884705445252e-05,4.5290279988396111e-02,1.29084963e-01,80,8.0539533470266381e-06,4.4400730903767206e-02,4.4400730903767206e-02,0.0000000000000000e+00,9.4355948185901413e-04,0.0000000000000000e+00,5.2607849954594972e+00,0.0000000000000000e+00,5.2607849954594972e+00,8.0539533470266381e-06,4.4400730903767206e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7755575615628914e-16,9.4355948185901413e-04,6.9753282129888191e+01,-4.5723984560465713e-03,-9.4390524254973546e-02,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss6,0.025,ok,,40,8.2995225834005528e-07,1.0409367434497198e-02,2.98134336e-01,159,5.1941757966698824e-07,1.1422546676954233e-02,1.1422546676954233e-02,0.0000000000000000e+00,1.2166816036261395e-04,0.0000000000000000e+00,2.7240570435499465e+00,0.0000000000000000e+00,2.7240570435499465e+00,5.1941757966698824e-07,1.1422546676954233e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.4825341532472731e-16,1.2166816036261395e-04,6.8208643756307424e+01,-5.2217246611263833e-03,-9.4497315402328821e-02,0.0000000000000000e+00,1.1102230246251565e-16
absolute_revolute_sharp,abs_revolute_gauss6,0.0125,ok,,80,4.4727969183566736e-07,1.7430464431771389e-03,5.17732526e-01,298,2.7129313894673288e-08,2.3250473587230146e-03,2.3250473587230146e-03,0.0000000000000000e+00,1.2635083880960625e-05,0.0000000000000000e+00,1.1125769658110243e+00,0.0000000000000000e+00,1.1125769658110243e+00,2.7129313894673288e-08,2.3250473587230146e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.5108334685767012e-16,1.2635083880960625e-05,6.7048127640456656e+01,-2.9397545081991760e-05,-9.4502499342542068e-02,0.0000000000000000e+00,1.1102230246251565e-16
