model,form,h,steps,status,pos_final_linf,vel_final_linf,acc_final_linf,pos_traj_linf,vel_traj_linf,acc_traj_linf,avg_iterations,max_iterations,max_phi_norm,max_so3_fro,runtime_sec
single_pendulum,rA,0.04,10,ok,1.2656542480726785e-14,1.0171129953818880e-01,7.3539370182314967e-01,2.3730992726456179e-09,1.0240922002194597e-01,2.2389708575902203e+00,5.63636364e+00,7.00000000e+00,3.2810828402801461e-09,1.0618990624911650e-10,1.25796990e-02
single_pendulum,rA,0.02,20,ok,6.6613381477509392e-16,5.0742219291640467e-02,3.7257452818260178e-01,2.3730992726456179e-09,5.1207950275986791e-02,2.2258568637868343e+00,4.57142857e+00,6.00000000e+00,3.2810828402801461e-09,1.0619029877206130e-10,2.02384550e-02
single_pendulum,rA,0.01,40,ok,3.8413716652030416e-14,2.5336694752160049e-02,1.8729868702636748e-01,2.3730992726456179e-09,2.5610444395250731e-02,2.2225692856345511e+00,3.65853659e+00,4.00000000e+00,3.2810828402801461e-09,1.0619022026846924e-10,3.80030780e-02
single_pendulum,rA,0.005,80,ok,6.6613381477509392e-16,1.2658963819820235e-02,9.3875006596344485e-02,2.3730992726456179e-09,1.2805252663150579e-02,2.2218125219829261e+00,2.90123457e+00,4.00000000e+00,3.2810828402801461e-09,1.0619006325816580e-10,5.66809330e-02
four_link,rA,0.04,10,ok,3.5971225997855072e-13,4.8543425149211328e-01,3.3162419900108091e+00,9.7713135360777414e-09,4.8543425149211328e-01,8.7967715048585386e+00,9.27272727e+00,1.20000000e+01,1.3960723369716503e-02,2.6478426043535850e-09,4.48998060e-02
four_link,rA,0.02,20,ok,8.8817841970012523e-15,2.4842917565843337e-01,1.7260786177416101e+00,9.7713135360777414e-09,2.4842917565843337e-01,8.7967715048585635e+00,6.95238095e+00,9.00000000e+00,1.3960723369716503e-02,2.6478427879424499e-09,6.92545520e-02
four_link,rA,0.01,40,ok,8.1712414612411521e-14,1.2566835264046605e-01,8.7442158110092549e-01,9.7713135360777414e-09,1.2566835264046605e-01,8.7967715048585529e+00,5.24390244e+00,7.00000000e+00,1.3960723369716503e-02,2.6478437860435086e-09,1.28777072e-01
four_link,rA,0.005,80,ok,3.5527136788005009e-14,6.3199809902647619e-02,4.3916910172534074e-01,9.7713135360777414e-09,6.3199809902647619e-02,8.7967715048585635e+00,4.11111111e+00,6.00000000e+00,1.3960723369716503e-02,2.6478442995745462e-09,1.95748102e-01
