case,solver,pattern_source,h,status,error_message,steps,runtime_sec,pattern_build_sec,total_newton_iterations,total_linear_solves,total_jacobian_assemblies,total_residual_eval_sec,total_jacobian_eval_sec,total_linear_solve_sec,avg_jacobian_eval_sec,avg_linear_solve_sec,pattern_nnz,pattern_density,pattern_extra_vs_warmup,pattern_missing_vs_warmup,colors,avg_jvp_dispatches,avg_seed_vectors,max_linear_residual_norm,max_pattern_missing_abs,max_batched_dense_relative_error,orientation_error_vs_dense_rad,omega_error_vs_dense,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_pivot_acceleration_constraint_norm,max_stage_axis_acceleration_constraint_norm,max_quaternion_unit_error
double_revolute_smooth,dense_jacfwd_csr,dense,0.02,ok,,3,7.97489970e-02,0.00000000e+00,12,9,9,2.0563926897011697e-02,2.5826413067989051e-02,8.1580508849583566e-03,2.8696014519987833e-03,9.0645009832870634e-04,582,3.0560806553245116e-02,,,11,0.0000000000000000e+00,0.0000000000000000e+00,1.8472096161144240e-14,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.1257310251576976e-14,5.7897102649854814e-13,8.2871006764575876e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_smooth,batched_colored_warmup_pattern,warmup_union,0.02,ok,,3,4.85795810e-02,4.18560901e+00,12,9,9,5.6961750378832221e-03,6.7995070130564272e-03,1.8022281001321971e-03,7.5550077922849194e-04,2.0024756668135524e-04,582,3.0560806553245116e-02,,,11,1.0000000000000000e+00,1.1000000000000000e+01,1.8481627838958534e-14,2.0400940424670543e-16,4.5133965236074102e-18,8.2994184803992060e-54,1.1102230246251565e-16,2.1257310251576976e-14,5.7899988349169216e-13,8.2955677183371045e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_smooth,batched_colored_block_symbolic,block_symbolic,0.02,ok,,3,7.73676970e-02,9.53693001e-04,12,9,9,8.4930901066400111e-03,8.8953390368260443e-03,2.8771920478902757e-03,9.8837100409178273e-04,3.1968800532114174e-04,1755,9.2155009451795847e-02,1173,0,34,1.0000000000000000e+00,3.4000000000000000e+01,1.8472096161144240e-14,0.0000000000000000e+00,3.7992805245260790e-18,0.0000000000000000e+00,0.0000000000000000e+00,2.1257310251576976e-14,5.7897102649854814e-13,8.2871006764575876e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_sharp,dense_jacfwd_csr,dense,0.02,ok,,3,7.89742950e-02,0.00000000e+00,13,10,10,1.3270656170789152e-02,3.3073269005399197e-02,3.7443639594130218e-03,3.3073269005399197e-03,3.7443639594130217e-04,582,3.0560806553245116e-02,,,11,0.0000000000000000e+00,0.0000000000000000e+00,1.6808332533945420e-14,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1354367043783689e-14,1.0538297283127725e-11,1.1933513528566256e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_sharp,batched_colored_warmup_pattern,warmup_union,0.02,ok,,3,5.23159900e-02,1.86085986e+00,13,10,10,6.4033348462544382e-03,6.7066979245282710e-03,2.2635870845988393e-03,6.7066979245282714e-04,2.2635870845988393e-04,582,3.0560806553245116e-02,,,11,1.0000000000000000e+00,1.1000000000000000e+01,1.6808332533945420e-14,2.0287821276504815e-16,4.5307344977038541e-18,0.0000000000000000e+00,0.0000000000000000e+00,3.1354367043783689e-14,1.0538297283127725e-11,1.1933513528566256e-13,0.0000000000000000e+00,0.0000000000000000e+00
double_revolute_sharp,batched_colored_block_symbolic,block_symbolic,0.02,ok,,3,4.95138240e-02,2.50838802e-03,13,10,10,5.9342670720070601e-03,6.6237800638191402e-03,2.3184370365925133e-03,6.6237800638191402e-04,2.3184370365925133e-04,1755,9.2155009451795847e-02,1173,0,34,1.0000000000000000e+00,3.4000000000000000e+01,1.6808332533945420e-14,0.0000000000000000e+00,3.8021957629824625e-18,0.0000000000000000e+00,0.0000000000000000e+00,3.1354367043783689e-14,1.0538297283127725e-11,1.1933513528566256e-13,0.0000000000000000e+00,0.0000000000000000e+00
