case,h,reference_h,t_final,status,error_message,steps,runtime_sec,position_error_vs_all_source_reference,velocity_error_vs_all_source_reference,max_endpoint_position_constraint_norm,max_endpoint_velocity_constraint_norm,max_all_source_trajectory_residual_norm,max_all_source_trajectory_stage_residual_norm,max_all_source_formula_probe_norm,max_weighted_stage_residual_norm,max_unweighted_stage_residual_norm,max_weighted_endpoint_node_residual_norm,total_newton_iterations,max_newton_iterations,position_observed_order,velocity_observed_order,probe_observed_order,stage_residual_observed_order,h_sweep_present,all_source_formula_direct,all_stage_source_families_covered,source_is_endpoint_boundary_only,stage_equations_are_tfe_weighted,non_equivalent_to_gauss6,solved_as_residual,full_tfe_stage_replacement,notes
cylindrical_smooth,0.04,0.005,0.08,stage_probe_all_source_trajectory_bridge_solved_not_full_tfe,,2,9.26003333e-01,1.7613180251754269e-07,1.0072717818273027e-05,4.6486449116383076e-16,2.6582772383559421e-16,4.1296449626844494e-13,4.1296444720707084e-13,3.9340281005669991e-11,3.9307416378515017e-11,3.4035327870335484e-10,1.3811071309460372e-16,12,6,7.1608569560827240e+00,7.0661839142135854e+00,7.3888671294695110e+00,4.3534381393196018e+00,True,True,True,True,True,True,True,False,"Full-trajectory bridge for the direct all-source formula residual. The h-sweep and h=0.005 reference both use the explicit endpoint-boundary source formulas for all six stage families. This is trajectory-level solvability evidence, not a derived full-TFE weak stage functional."
cylindrical_smooth,0.02,0.005,0.08,stage_probe_all_source_trajectory_bridge_solved_not_full_tfe,,4,1.91749774e+00,1.8381849110136487e-09,2.9538769897761724e-08,6.4349641156677840e-16,4.0885179223310859e-16,1.1243692842245139e-15,1.1166025030572079e-15,2.3705698384925586e-13,2.3714068527611521e-13,2.9042271837172421e-12,9.8963383517921157e-17,24,6,7.1608569560827240e+00,7.0661839142135854e+00,7.3888671294695110e+00,4.3534381393196018e+00,True,True,True,True,True,True,True,False,"Full-trajectory bridge for the direct all-source formula residual. The h-sweep and h=0.005 reference both use the explicit endpoint-boundary source formulas for all six stage families. This is trajectory-level solvability evidence, not a derived full-TFE weak stage functional."
cylindrical_smooth,0.01,0.005,0.08,stage_probe_all_source_trajectory_bridge_solved_not_full_tfe,,8,3.97022596e+00,8.6014625494353820e-12,5.6089302773935702e-10,7.8691967485060506e-16,1.9349962027163640e-16,9.9029927601119590e-16,9.8828393490705053e-16,1.4005421312492911e-15,1.4968727971654026e-15,2.5779522620643530e-14,6.8739218616408453e-17,48,6,7.1608569560827240e+00,7.0661839142135854e+00,7.3888671294695110e+00,4.3534381393196018e+00,True,True,True,True,True,True,True,False,"Full-trajectory bridge for the direct all-source formula residual. The h-sweep and h=0.005 reference both use the explicit endpoint-boundary source formulas for all six stage families. This is trajectory-level solvability evidence, not a derived full-TFE weak stage functional."
cylindrical_sharp,0.04,0.005,0.08,stage_probe_all_source_trajectory_bridge_solved_not_full_tfe,,2,1.16761228e+00,9.4524703156033387e-06,2.3564815933178949e-03,2.5314477438528170e-16,2.5348050959299080e-16,2.1922478651160064e-12,2.1922478601993854e-12,8.3834172876259708e-11,8.3628869812418023e-11,7.2389069486573811e-10,1.4094166058512357e-16,13,7,1.8935248325022167e+00,2.6833716243077461e+00,4.9309054154939549e+00,5.7925106798644155e+00,True,True,True,True,True,True,True,False,"Full-trajectory bridge for the direct all-source formula residual. The h-sweep and h=0.005 reference both use the explicit endpoint-boundary source formulas for all six stage families. This is trajectory-level solvability evidence, not a derived full-TFE weak stage functional."
cylindrical_sharp,0.02,0.005,0.08,stage_probe_all_source_trajectory_bridge_solved_not_full_tfe,,4,2.18991142e+00,1.5446337463697318e-06,5.5985060522095156e-04,6.6043485043818667e-16,1.4203204951173325e-16,9.0899689035446493e-16,8.8891971742814198e-16,5.3489195250497943e-12,5.3490229996325011e-12,6.5511139061750035e-11,7.8748901518454480e-17,25,7,1.8935248325022167e+00,2.6833716243077461e+00,4.9309054154939549e+00,5.7925106798644155e+00,True,True,True,True,True,True,True,False,"Full-trajectory bridge for the direct all-source formula residual. The h-sweep and h=0.005 reference both use the explicit endpoint-boundary source formulas for all six stage families. This is trajectory-level solvability evidence, not a derived full-TFE weak stage functional."
cylindrical_sharp,0.01,0.005,0.08,stage_probe_all_source_trajectory_bridge_solved_not_full_tfe,,8,4.31566249e+00,6.8474643198483066e-07,5.7110157113471803e-05,7.0235517467086625e-16,2.8284010289033238e-16,7.2393991740666504e-16,7.1359323658652484e-16,9.0099050071979339e-14,8.9998145152417034e-14,1.5589582268941633e-12,5.0515801820236225e-17,49,7,1.8935248325022167e+00,2.6833716243077461e+00,4.9309054154939549e+00,5.7925106798644155e+00,True,True,True,True,True,True,True,False,"Full-trajectory bridge for the direct all-source formula residual. The h-sweep and h=0.005 reference both use the explicit endpoint-boundary source formulas for all six stage families. This is trajectory-level solvability evidence, not a derived full-TFE weak stage functional."
