case,h,reference_h,t_final,status,error_message,steps,runtime_sec,position_error_vs_stage_weighted_reference,velocity_error_vs_stage_weighted_reference,max_endpoint_position_constraint_norm,max_endpoint_velocity_constraint_norm,max_raw_endpoint_position_constraint_norm,max_raw_endpoint_velocity_constraint_norm,max_endpoint_position_correction_norm,max_endpoint_velocity_correction_norm,max_weighted_stage_residual_norm,max_unweighted_stage_residual_norm,max_weighted_endpoint_position_residual_norm,max_weighted_endpoint_velocity_residual_norm,max_weighted_endpoint_node_residual_norm,max_stage_weighted_tfe_candidate_residual_norm,max_unweighted_endpoint_tfe_solved_residual_norm,max_endpoint_position_stationarity_norm,max_endpoint_velocity_stationarity_norm,total_newton_iterations,max_newton_iterations,position_observed_order,velocity_observed_order,endpoint_position_correction_observed_order,endpoint_velocity_correction_observed_order,weighted_stage_residual_observed_order,unweighted_stage_residual_observed_order,weighted_endpoint_node_residual_observed_order,stage_equations_are_tfe_weighted,diagonal_equivalent_to_gauss6,full_tfe_stage_replacement,notes
cylindrical_smooth,0.04,0.005,0.08,stage_weighted_endpoint_candidate_not_full_tfe,,2,9.21603342e-01,1.7613144904075001e-07,1.0072724680336663e-05,4.9020674071809774e-16,1.0028730982527897e-16,5.1028538315045186e-12,9.5171230301371370e-11,3.8813343812744130e-12,7.9037122844974546e-11,6.8182126614715959e-15,6.4500488310755323e-14,8.6201975893756876e-17,5.0949070794788716e-17,8.9424015363844958e-17,6.8192939451217115e-15,6.4500602619966311e-14,4.0387979254100289e-24,9.9277903068294352e-17,12,6,7.1608490396117768e+00,7.0661843936176707e+00,6.2317529327911760e+00,6.9111434911869996e+00,1.4699372196360088e+00,1.0390337499378484e+00,2.8172280988116016e-01,True,True,False,"Stage-weighted endpoint TFE candidate: Newton solves the same endpoint-node square residual as the solved candidate, but the 132 Gauss6 FullVA stage rows are premultiplied by sqrt(h*b_i) quadrature weights. This supplies a TFE-weighted stage-row candidate and an equivalence check, while remaining a diagonal scaling of the Gauss6 stage equations rather than an independent full TFE stage replacement."
cylindrical_smooth,0.02,0.005,0.08,stage_weighted_endpoint_candidate_not_full_tfe,,4,2.32297388e+00,1.8381836295321357e-09,2.9538772897742418e-08,6.4777527679529962e-16,2.2558329064616830e-16,5.1238697448325372e-14,7.4259099111370424e-13,3.8908558447668267e-14,6.3875309942115598e-13,9.5910971348052923e-16,1.1457968727030641e-14,5.9910268560670570e-17,2.6560782332728293e-17,6.5534078441206791e-17,9.6133473805785040e-16,1.1458155191204045e-14,1.4927702573087598e-26,1.2483189618394506e-16,24,6,7.1608490396117768e+00,7.0661843936176707e+00,6.2317529327911760e+00,6.9111434911869996e+00,1.4699372196360088e+00,1.0390337499378484e+00,2.8172280988116016e-01,True,True,False,"Stage-weighted endpoint TFE candidate: Newton solves the same endpoint-node square residual as the solved candidate, but the 132 Gauss6 FullVA stage rows are premultiplied by sqrt(h*b_i) quadrature weights. This supplies a TFE-weighted stage-row candidate and an equivalence check, while remaining a diagonal scaling of the Gauss6 stage equations rather than an independent full TFE stage replacement."
cylindrical_smooth,0.01,0.005,0.08,stage_weighted_endpoint_candidate_not_full_tfe,,8,4.14262710e+00,8.6015396848508284e-12,5.6089303708216776e-10,6.1288471938447131e-16,5.0371974485411346e-16,7.8933690743819619e-16,6.4127165528921822e-15,6.8721391173777722e-16,5.4564242709207833e-15,8.8854648488467056e-16,1.5275743312915412e-14,5.4230848311177888e-17,3.2678278109943484e-17,6.0511808729321395e-17,8.8934920088223077e-16,1.5275790025638244e-14,6.1501508790689643e-27,8.7773426780834999e-17,48,6,7.1608490396117768e+00,7.0661843936176707e+00,6.2317529327911760e+00,6.9111434911869996e+00,1.4699372196360088e+00,1.0390337499378484e+00,2.8172280988116016e-01,True,True,False,"Stage-weighted endpoint TFE candidate: Newton solves the same endpoint-node square residual as the solved candidate, but the 132 Gauss6 FullVA stage rows are premultiplied by sqrt(h*b_i) quadrature weights. This supplies a TFE-weighted stage-row candidate and an equivalence check, while remaining a diagonal scaling of the Gauss6 stage equations rather than an independent full TFE stage replacement."
cylindrical_sharp,0.04,0.005,0.08,stage_weighted_endpoint_candidate_not_full_tfe,,2,1.27824420e+00,9.4524728222582159e-06,2.3564816366695366e-03,5.3901495309228609e-16,1.8468328356851688e-16,2.1132265900677337e-12,1.7222442884972089e-10,2.1379604751166209e-12,1.5629443560349471e-10,9.7571088967799273e-14,9.2563224471648628e-13,1.2198969152155035e-16,2.4805004668048489e-17,1.2448603573937487e-16,9.7571307834472545e-14,9.2563226778729390e-13,1.7507276719379595e-24,1.9630591326154854e-16,13,7,1.8935250261744059e+00,2.6833716361908531e+00,4.7358434595937640e+00,4.2023797563459961e+00,-8.1435419428650491e-01,-1.3143058692768537e+00,4.1966327550882176e-01,True,True,False,"Stage-weighted endpoint TFE candidate: Newton solves the same endpoint-node square residual as the solved candidate, but the 132 Gauss6 FullVA stage rows are premultiplied by sqrt(h*b_i) quadrature weights. This supplies a TFE-weighted stage-row candidate and an equivalence check, while remaining a diagonal scaling of the Gauss6 stage equations rather than an independent full TFE stage replacement."
cylindrical_sharp,0.02,0.005,0.08,stage_weighted_endpoint_candidate_not_full_tfe,,4,2.05252040e+00,1.5446339327039393e-06,5.5985060007205691e-04,5.3722554079684563e-16,3.6168168173292268e-16,1.1022274744202520e-13,1.7044208971844229e-11,8.1412910815137102e-14,1.5223730275754498e-11,1.2457818739562413e-15,1.5608036851354686e-14,7.2181184805485715e-17,3.4624609751941910e-17,7.2951481485683904e-17,1.2528266234851639e-15,1.5608600719612289e-14,8.7769836887637979e-27,1.2395784571281515e-16,25,7,1.8935250261744059e+00,2.6833716361908531e+00,4.7358434595937640e+00,4.2023797563459961e+00,-8.1435419428650491e-01,-1.3143058692768537e+00,4.1966327550882176e-01,True,True,False,"Stage-weighted endpoint TFE candidate: Newton solves the same endpoint-node square residual as the solved candidate, but the 132 Gauss6 FullVA stage rows are premultiplied by sqrt(h*b_i) quadrature weights. This supplies a TFE-weighted stage-row candidate and an equivalence check, while remaining a diagonal scaling of the Gauss6 stage equations rather than an independent full TFE stage replacement."
cylindrical_sharp,0.01,0.005,0.08,stage_weighted_endpoint_candidate_not_full_tfe,,8,4.33394865e+00,6.8474642972411772e-07,5.7110157223310706e-05,6.6743942356705306e-16,2.0671297972939003e-16,4.1796831792068030e-15,5.8828938753643700e-13,3.0111875064810039e-15,4.6116760973720128e-13,3.0172495502333450e-13,5.7243931751312376e-12,6.5088477326807084e-17,3.0246859056024201e-17,6.9575793650667356e-17,3.0172498612897626e-13,5.7243931767707734e-12,2.3918308359700240e-27,1.3341022280983894e-16,48,6,1.8935250261744059e+00,2.6833716361908531e+00,4.7358434595937640e+00,4.2023797563459961e+00,-8.1435419428650491e-01,-1.3143058692768537e+00,4.1966327550882176e-01,True,True,False,"Stage-weighted endpoint TFE candidate: Newton solves the same endpoint-node square residual as the solved candidate, but the 132 Gauss6 FullVA stage rows are premultiplied by sqrt(h*b_i) quadrature weights. This supplies a TFE-weighted stage-row candidate and an equivalence check, while remaining a diagonal scaling of the Gauss6 stage equations rather than an independent full TFE stage replacement."
