case,h,reference_h,t_final,status,position_error_vs_kkt_reference,velocity_error_vs_kkt_reference,max_endpoint_position_constraint_norm,max_endpoint_velocity_constraint_norm,weighted_endpoint_position_residual_norm,weighted_endpoint_velocity_residual_norm,weighted_endpoint_node_residual_norm,weighted_endpoint_stationarity_norm,weighted_kkt_residual_norm,candidate_weighted_residual_norm,endpoint_node_weighted_residual_rows_present,stage_equations_are_tfe_weighted,position_observed_order,velocity_observed_order,endpoint_node_residual_observed_order,candidate_weighted_residual_observed_order,notes
cylindrical_smooth,0.04,0.005,0.08,candidate_rows_generated_not_full_tfe,1.7613133752076849e-07,1.0072724671749987e-05,5.8831776550394669e-12,2.4314040258323653e-16,1.1766355310078935e-12,4.8628080516647306e-17,1.1766355320127459e-12,2.1312048415237670e-17,1.2973085155577766e-14,1.1767070479042671e-12,True,False,7.1608497965184119e+00,7.0661842883804828e+00,6.3891847977599028e+00,4.7871714452294567e+00,"Endpoint TFE candidate audit: evaluates endpoint-node weighted position/velocity rows on the endpoint KKT h-sweep. This creates a concrete candidate h-sweep and endpoint-node weighted residual rows, but the stage Gauss6 equations are still not replaced by a full TFE weighted residual, so the endpoint caveat remains open."
cylindrical_smooth,0.02,0.005,0.08,candidate_rows_generated_not_full_tfe,1.8381850910667452e-09,2.9538772437624725e-08,9.1963610668061146e-14,1.5730040397299373e-16,1.3005618545157111e-14,2.2245636466537441e-17,1.3005637570318358e-14,3.3687883614387400e-17,2.1858452746518933e-15,1.3188087922390298e-14,True,False,7.1608497965184119e+00,7.0661842883804828e+00,6.3891847977599028e+00,4.7871714452294567e+00,"Endpoint TFE candidate audit: evaluates endpoint-node weighted position/velocity rows on the endpoint KKT h-sweep. This creates a concrete candidate h-sweep and endpoint-node weighted residual rows, but the stage Gauss6 equations are still not replaced by a full TFE weighted residual, so the endpoint caveat remains open."
cylindrical_smooth,0.01,0.005,0.08,candidate_rows_generated_not_full_tfe,8.6015252131254674e-12,5.6089311843256032e-10,1.6349292602427387e-15,3.6337974434436986e-16,1.6349292602427387e-16,3.6337974434436987e-17,1.6748249235659375e-16,1.0161157434848561e-17,1.5343432586070460e-15,1.5434904825101064e-15,True,False,7.1608497965184119e+00,7.0661842883804828e+00,6.3891847977599028e+00,4.7871714452294567e+00,"Endpoint TFE candidate audit: evaluates endpoint-node weighted position/velocity rows on the endpoint KKT h-sweep. This creates a concrete candidate h-sweep and endpoint-node weighted residual rows, but the stage Gauss6 equations are still not replaced by a full TFE weighted residual, so the endpoint caveat remains open."
cylindrical_sharp,0.04,0.005,0.08,candidate_rows_generated_not_full_tfe,9.4524728520093232e-06,2.3564816366847072e-03,2.6715482925265279e-12,3.7653592775629183e-16,5.3430965850530559e-13,7.5307185551258366e-17,5.3430966381231445e-13,2.5444568515243374e-17,1.8357175299352036e-13,5.6496495996457044e-13,True,False,1.8935250284547489e+00,2.6833716361957922e+00,5.3613072596265310e+00,-9.2899446527376882e-03,"Endpoint TFE candidate audit: evaluates endpoint-node weighted position/velocity rows on the endpoint KKT h-sweep. This creates a concrete candidate h-sweep and endpoint-node weighted residual rows, but the stage Gauss6 equations are still not replaced by a full TFE weighted residual, so the endpoint caveat remains open."
cylindrical_sharp,0.02,0.005,0.08,candidate_rows_generated_not_full_tfe,1.5446339340662933e-06,5.5985060007106464e-04,9.3781198224608634e-14,2.1379968305679171e-16,1.3262664242484115e-14,3.0235841140998407e-17,1.3262698707840583e-14,2.4307040437995053e-17,1.8755184717367479e-15,1.3394675710333449e-14,True,False,1.8935250284547489e+00,2.6833716361957922e+00,5.3613072596265310e+00,-9.2899446527376882e-03,"Endpoint TFE candidate audit: evaluates endpoint-node weighted position/velocity rows on the endpoint KKT h-sweep. This creates a concrete candidate h-sweep and endpoint-node weighted residual rows, but the stage Gauss6 equations are still not replaced by a full TFE weighted residual, so the endpoint caveat remains open."
cylindrical_sharp,0.01,0.005,0.08,candidate_rows_generated_not_full_tfe,6.8474642971467902e-07,5.7110157223287307e-05,3.1576942546301700e-15,1.6531462936479524e-16,3.1576942546301703e-16,1.6531462936479524e-17,3.1620186483331192e-16,8.0449131386981060e-18,5.7228788293157919e-13,5.7228797034242195e-13,True,False,1.8935250284547489e+00,2.6833716361957922e+00,5.3613072596265310e+00,-9.2899446527376882e-03,"Endpoint TFE candidate audit: evaluates endpoint-node weighted position/velocity rows on the endpoint KKT h-sweep. This creates a concrete candidate h-sweep and endpoint-node weighted residual rows, but the stage Gauss6 equations are still not replaced by a full TFE weighted residual, so the endpoint caveat remains open."
