case,tol,reference_h,t_final,status,runtime_sec,position_error,velocity_error,accepted_steps,rejected_steps,mean_step,max_error_estimate,position_tol_slope_all,velocity_tol_slope_all,position_tol_slope_prefix,velocity_tol_slope_prefix,velocity_error_reduction_vs_fixed_h001,runtime_factor_vs_fixed_h001,error_runtime_value_ratio_vs_fixed_h001,tail_velocity_error_ratio,tail_tolerance_ratio,reference_floor_flag,notes
cylindrical_sharp,5.0000000000000001e-04,0.0025,0.08,ok_reference_floor_visible,3.09311429e-01,4.0492495391314159e-08,6.4874721001242302e-06,3,1,2.6666666666666668e-02,4.7118012067331474e-05,8.8779071899436102e-01,8.8097635502036309e-01,1.7257277817128236e+00,1.7098891124436493e+00,8.7817993983365099e+00,1.6041332658761742e+00,7.0986545565957113e-02,9.1962148050921722e-01,2.0000000000000001e-01,True,Tolerance/work convergence diagnostic for projected dense Gauss6 sharp-friction adaptive step-doubling. Prefix slope uses the two looser tolerances; the tail ratio flags the finest tolerance pair as reference-floor limited when tightening tolerance no longer reduces the velocity error proportionally.
cylindrical_sharp,1.0000000000000000e-04,0.0025,0.08,ok_reference_floor_visible,4.40973745e-01,2.5185036602133420e-09,4.1391799035837149e-07,4,2,2.0000000000000000e-02,2.2835210929266120e-05,8.8779071899436102e-01,8.8097635502036309e-01,1.7257277817128236e+00,1.7098891124436493e+00,1.3764001544429030e+02,2.2869528483564707e+00,3.1768600021505572e-03,9.1962148050921722e-01,2.0000000000000001e-01,True,Tolerance/work convergence diagnostic for projected dense Gauss6 sharp-friction adaptive step-doubling. Prefix slope uses the two looser tolerances; the tail ratio flags the finest tolerance pair as reference-floor limited when tightening tolerance no longer reduces the velocity error proportionally.
cylindrical_sharp,2.0000000000000002e-05,0.0025,0.08,ok_reference_floor_visible,6.59301118e-01,2.3243224449694718e-09,3.8064787510276551e-07,5,3,1.6000000000000000e-02,1.4319805653898337e-05,8.8779071899436102e-01,8.8097635502036309e-01,1.7257277817128236e+00,1.7098891124436493e+00,1.4967029192062327e+02,3.4192297998507564e+00,1.9540519446615335e-03,9.1962148050921722e-01,2.0000000000000001e-01,True,Tolerance/work convergence diagnostic for projected dense Gauss6 sharp-friction adaptive step-doubling. Prefix slope uses the two looser tolerances; the tail ratio flags the finest tolerance pair as reference-floor limited when tightening tolerance no longer reduces the velocity error proportionally.
