case,predictor_law,feedback_family,feedback_gain,status,error_message,h_values,reference_h,t_final,reference_completed,steps,source_free_converged_steps,position_errors,velocity_errors,terminal_velocity_values,residual_values,position_order,velocity_order,min_position_velocity_order,max_terminal_velocity,max_residual_norm,min_jacobian_rank,max_raw_jacobian_condition,max_scaled_jacobian_condition,terminal_velocity_closed,smooth_order_ok,terminal_tolerance,smooth_order_floor,row_families_substituted,stage_rows_substituted,source_consistency_rows,endpoint_pose_velocity_predictor_closure_rows,source_free_lower_pair_rows,history_source_block_count,history_source_bootstrap_policy,lower_pair_row_formula,linear_solve_policy,output_policy,start_z0_policy,external_endpoint_source_removed,endpoint_boundary_source_removed,terminal_row_replacement_used,projection_used,target_jacobian_used_for_formula,target_direction_oracle_used,trajectory_h_sweep_present,accepted_h_sweep_present,full_tfe_stage_replacement,conclusion
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknorm_source01historyslope_rel_p1_z,norm_source01historyslope,1.0,paper_tfe_lower_pair_recurrent_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.3913176724828262e-08,4.6533480325285732e-10","3.1248702173495763e-07,8.4147432768953537e-09","8.0667980272639165e-08,1.8683010573694444e-07","4.6892265202617970e-12,7.2578208277369435e-12",6.560241001104572,5.214733205096062,5.214733205096062,1.8683010573694444e-07,7.2578208277369435e-12,132,2842154697.511796,3611.325560992572,False,True,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknorm_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,feedback_gain_order_preserved_terminal_open
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknorm_source01historyslope_rel_p2_z,norm_source01historyslope,2.0,paper_tfe_lower_pair_recurrent_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4071431788937399e-08,4.5860638577761673e-10","3.0379565833106556e-07,1.2920695092389578e-08","5.7100520093521358e-09,1.3155100586254773e-08","1.0097372479887688e-12,3.2960550623585044e-12",6.586443513713567,4.5553456621912956,4.5553456621912956,1.3155100586254773e-08,3.2960550623585044e-12,132,243694912.55786005,5578.111712727418,False,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknorm_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,feedback_gain_tradeoff_row
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknorm_source01historyslope_rel_p5_z,norm_source01historyslope,5.0,paper_tfe_lower_pair_recurrent_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083544549105089e-08,4.5809758870454941e-10","3.0319676116971959e-07,1.3321388161234015e-08","1.2504920625984028e-11,2.8808027550532332e-11","5.6734113648694239e-13,2.1579541789453842e-12",6.588441449685972,4.5084380102906865,4.5084380102906865,2.8808027550532332e-11,2.1579541789453842e-12,132,252208671.08206826,6064.508784351595,False,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknorm_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,feedback_gain_tradeoff_row
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknorm_source01historyslope_rel_p8_z,norm_source01historyslope,8.0,paper_tfe_lower_pair_recurrent_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083571168852913e-08,4.5809640228431643e-10","3.0319545998472721e-07,1.3322263878644863e-08","3.0903337736907187e-14,7.1287904675613123e-14","1.1503179861042934e-12,1.3309336596324451e-12",6.588446057273398,4.508336982539231,4.508336982539231,7.128790467561312e-14,1.330933659632445e-12,132,252226554.17605934,6187.184438763971,True,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknorm_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,feedback_gain_terminal_closed_order_limited
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknorm_source01historyslope_rel_p10_z,norm_source01historyslope,10.0,paper_tfe_lower_pair_recurrent_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083570451816250e-08,4.5809601372070829e-10","3.0319545658847640e-07,1.3322266044700490e-08","5.7818440861197355e-16,1.2494406905252229e-15","1.1445810982527469e-12,2.6448443316176823e-12",6.5884472575215,4.508336731812305,4.508336731812305,1.249440690525223e-15,2.6448443316176823e-12,132,252229882.64939663,6192.826319460201,True,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknorm_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,feedback_gain_terminal_closed_order_limited
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknorm_source01historyslope_rel_p12_z,norm_source01historyslope,12.0,paper_tfe_lower_pair_recurrent_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083571232019409e-08,4.5809678776149408e-10","3.0319545678340070e-07,1.3322265919140348e-08","7.7079072721651530e-17,1.0359808170537673e-16","9.7315102011073365e-13,2.6809172566504973e-12",6.5884448453477145,4.508336746336974,4.508336746336974,1.0359808170537673e-16,2.6809172566504973e-12,132,252246399.43627813,6193.590427957492,True,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknorm_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,feedback_gain_terminal_closed_order_limited
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknorm_source01historyslope_rel_p15_z,norm_source01historyslope,15.0,paper_tfe_lower_pair_recurrent_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083570951574946e-08,4.5809638013301054e-10","3.0319545654756699e-07,1.3322266045058901e-08","8.3005092337795715e-17,1.2423570672874852e-16","5.0111301199241150e-13,2.2274816616633156e-12",6.588446119924373,4.508336731578832,4.508336731578832,1.2423570672874852e-16,2.2274816616633156e-12,132,252249419.3740194,6193.704080917927,True,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknorm_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,feedback_gain_terminal_closed_order_limited
cylindrical_smooth,recurrent_history_velocity_terminal_feedbacknorm_source01historyslope_rel_p20_z,norm_source01historyslope,20.0,paper_tfe_lower_pair_recurrent_feedback_gain_boundary_tradeoff_not_full_tfe,,"0.04,0.02",0.01,0.04,True,"1,2","1,2","4.4083571067118519e-08,4.5809656661780899e-10","3.0319545654587980e-07,1.3322266039858792e-08","1.1267646594811073e-16,1.2231794272000599e-16","6.0862262440877184e-13,1.5732580495669859e-12",6.588445536404308,4.508336732133934,4.508336732133934,1.22317942720006e-16,1.5732580495669859e-12,132,252249576.53118524,6193.70999575151,True,False,1e-12,5.0,6,132,16,8,24,1,zero_initial_then_stage0_source_estimate,centered_acceleration_source_consistency_plus_recurrent_feedbacknorm_source01historyslope,iterative_equilibrated,raw_terminal_lobatto_node_no_projection,consistent_initial_acceleration_then_recurrent_terminal_z,True,True,False,False,False,False,False,False,False,feedback_gain_terminal_closed_order_limited
