case,history_mode,matrix_law,gain,h,status,error_message,bootstrap_step_count,newton_converged,residual_norm,min_jacobian_rank,raw_terminal_endpoint_velocity_constraint_norm,history_source_norm,source_curvature_norm,candidate_basis_rank,candidate_augmented_rank,candidate_independent_target_rank,candidate_projection_relative_residual,candidate_max_row_relative_residual,candidate_missing_direction_rank,candidate_missing_direction_dominant_variable_family,candidate_missing_direction_dominant_variable_fraction,candidate_missing_direction_stage0_fraction,candidate_missing_direction_stage1_fraction,candidate_missing_direction_stage2_fraction,candidate_spans_terminal_bridge,candidate_closure_value_delta_from_recurrent_norm,candidate_closure_value_delta_from_recurrent_relative,uses_stage2_translation_velocity_matrix_feature,uses_stage2_velocity_matrix_feature,target_bridge_used_for_scoring_only,accepted_h_sweep_present,full_tfe_stage_replacement
cylindrical_smooth,zero_initial,stage2_translation_velocity_stage2_velocity_outer_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_velocity_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.973758911542036,0.9993978485447425,8,translation_velocity_v,0.5100579979215355,1.481857415205927e-30,3.964922835888493e-31,1.0,False,4.3887743032090404e-16,0.022449945492720634,True,True,True,False,False
cylindrical_smooth,zero_initial,stage2_translation_velocity_stage2_velocity_outer_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_velocity_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.9737589115420083,0.99939784854474,8,translation_velocity_v,0.510057997921525,1.2665849786143569e-23,1.2651352619512648e-23,1.0,False,4.388774733024408e-16,0.022449947691359915,True,True,True,False,False
cylindrical_smooth,zero_initial,stage2_translation_velocity_symmetric_stage2_velocity_outer_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_velocity_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.9737589115420359,0.9993978485447425,8,translation_velocity_v,0.5100579979215355,1.5245711390515254e-30,5.048755283062121e-31,1.0,False,4.388774303188667e-16,0.02244994549261642,True,True,True,False,False
cylindrical_smooth,zero_initial,stage2_translation_velocity_symmetric_stage2_velocity_outer_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_velocity_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.9737589115419772,0.9993978485447291,8,translation_velocity_v,0.5100579979214857,1.9465273153728884e-23,1.9598702251774035e-23,1.0,False,4.38877452929645e-16,0.022449946649228048,True,True,True,False,False
cylindrical_smooth,zero_initial,stage2_translation_velocity_hadamard_diagonal_feature_stage2_velocity,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_velocity_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.973758911542036,0.9993978485447425,8,translation_velocity_v,0.5100579979215355,1.302047855816059e-30,3.3227769697779285e-31,1.0,False,4.388774303165873e-16,0.022449945492499818,True,True,True,False,False
cylindrical_smooth,zero_initial,stage2_translation_velocity_hadamard_diagonal_feature_stage2_velocity,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_velocity_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.9737589115420264,0.999397848544742,8,translation_velocity_v,0.5100579979215268,3.554218482417554e-25,3.588298130617199e-25,0.9999999999999998,False,4.3887743013755083e-16,0.022449945483341546,True,True,True,False,False
cylindrical_smooth,zero_initial,stage2_translation_velocity_diagonal_plus_hadamard_row_feature_stage2_velocity,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_velocity_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.973758911542036,0.9993978485447425,8,translation_velocity_v,0.5100579979215355,1.483708340508522e-30,3.639793801950059e-31,1.0,False,4.3887743031507974e-16,0.022449945492422702,True,True,True,False,False
cylindrical_smooth,zero_initial,stage2_translation_velocity_diagonal_plus_hadamard_row_feature_stage2_velocity,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_velocity_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.9737589115420465,0.9993978485447347,8,translation_velocity_v,0.5100579979215213,2.6238032897549057e-24,2.6089901911464105e-24,1.0,False,4.3887741506272964e-16,0.02244994471221756,True,True,True,False,False
cylindrical_smooth,zero_initial,stage2_translation_velocity_angular_to_translation_cross_feature,100000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_velocity_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.973758911542036,0.9993978485447425,8,translation_velocity_v,0.5100579979215355,1.676382622827695e-30,7.081809529343658e-31,1.0,False,4.38877430316801e-16,0.02244994549251075,True,True,True,False,False
cylindrical_smooth,zero_initial,stage2_translation_velocity_angular_to_translation_cross_feature,1000000000000.0,0.04,paper_tfe_lower_pair_recurrent_stage2_translation_velocity_matrix_differential_audit_gap_not_full_tfe,,0,True,6.736947567718541e-13,132,2.3374864007605686e-10,0.0,8.056654275011763e-15,24,32,8,0.9737589115419623,0.999397848544717,8,translation_velocity_v,0.5100579979214612,3.434116112643898e-23,3.4471991349897606e-23,1.0,False,4.388774322722319e-16,0.022449945592537122,True,True,True,False,False
