case,h,reference_h,t_final,status,error_message,steps,runtime_sec,position_error_vs_solved_non_equivalent_reference,velocity_error_vs_solved_non_equivalent_reference,max_endpoint_position_constraint_norm,max_endpoint_velocity_constraint_norm,max_raw_endpoint_position_constraint_norm,max_raw_endpoint_velocity_constraint_norm,max_endpoint_position_correction_norm,max_endpoint_velocity_correction_norm,max_weighted_stage_residual_norm,max_unweighted_stage_residual_norm,max_non_equivalent_stage_probe_norm,max_non_equivalent_stage_residual_norm,max_solved_non_equivalent_probe_residual_norm,max_weighted_endpoint_position_residual_norm,max_weighted_endpoint_velocity_residual_norm,max_weighted_endpoint_node_residual_norm,max_endpoint_position_stationarity_norm,max_endpoint_velocity_stationarity_norm,total_newton_iterations,max_newton_iterations,position_observed_order,velocity_observed_order,non_equivalent_stage_probe_observed_order,non_equivalent_stage_residual_observed_order,weighted_endpoint_node_residual_observed_order,stage_equations_are_tfe_weighted,non_equivalent_to_gauss6,solved_as_residual,full_tfe_stage_replacement,notes
cylindrical_smooth,0.04,0.005,0.08,solved_non_equivalent_stage_probe_not_full_tfe,,2,9.95670571e-01,1.7613180251754269e-07,1.0072717818273027e-05,4.6486449116383076e-16,2.6582772383559421e-16,5.0794083749902971e-12,9.5059888194076921e-11,3.8706594830077001e-12,7.9229750307653820e-11,3.9307416378515017e-11,3.4035327870335484e-10,3.9340281005669991e-11,4.1296444720707084e-13,4.1296449626844494e-13,1.1070055128261303e-16,8.2583031048911676e-17,1.3811071309460372e-16,1.0616410645801711e-22,1.4644671328389371e-16,12,6,7.1608569560827240e+00,7.0661839142135854e+00,7.3888671294695110e+00,4.3534381393196018e+00,5.0330993745460795e-01,True,True,True,False,"Newton solves a square endpoint-node residual whose 132 stage rows are the quadrature-weighted Gauss6 rows plus the endpoint-boundary non-equivalent probe. This proves the probe can be placed inside a solved residual, but the probe is still a heuristic boundary-correction term rather than a derived full TFE weak stage functional."
cylindrical_smooth,0.02,0.005,0.08,solved_non_equivalent_stage_probe_not_full_tfe,,4,1.97911058e+00,1.8381849110136487e-09,2.9538769897761724e-08,6.4349641156677840e-16,4.0885179223310859e-16,5.1080370048272416e-14,7.4249346595104000e-13,3.8835784337800088e-14,6.4012909947857390e-13,2.3714068527611521e-13,2.9042271837172421e-12,2.3705698384925586e-13,1.1166025030572079e-15,1.1243692842245139e-15,6.8036587892403613e-17,8.0261902360960812e-17,9.8963383517921157e-17,1.2945127110926873e-25,8.7243258745926513e-17,24,6,7.1608569560827240e+00,7.0661839142135854e+00,7.3888671294695110e+00,4.3534381393196018e+00,5.0330993745460795e-01,True,True,True,False,"Newton solves a square endpoint-node residual whose 132 stage rows are the quadrature-weighted Gauss6 rows plus the endpoint-boundary non-equivalent probe. This proves the probe can be placed inside a solved residual, but the probe is still a heuristic boundary-correction term rather than a derived full TFE weak stage functional."
cylindrical_smooth,0.01,0.005,0.08,solved_non_equivalent_stage_probe_not_full_tfe,,8,4.70468930e+00,8.6014625494353820e-12,5.6089302773935702e-10,7.8691967485060506e-16,1.9349962027163640e-16,1.0541734230505240e-15,6.4393938774995010e-15,6.8574507638294352e-16,5.4946620589852287e-15,1.4968727971654026e-15,2.5779522620643530e-14,1.4005421312492911e-15,9.8828393490705053e-16,9.9029927601119590e-16,6.5613667847409388e-17,3.4548646094442662e-17,6.8739218616408453e-17,4.8313727023780369e-27,1.2548023904280271e-16,48,6,7.1608569560827240e+00,7.0661839142135854e+00,7.3888671294695110e+00,4.3534381393196018e+00,5.0330993745460795e-01,True,True,True,False,"Newton solves a square endpoint-node residual whose 132 stage rows are the quadrature-weighted Gauss6 rows plus the endpoint-boundary non-equivalent probe. This proves the probe can be placed inside a solved residual, but the probe is still a heuristic boundary-correction term rather than a derived full TFE weak stage functional."
cylindrical_sharp,0.04,0.005,0.08,solved_non_equivalent_stage_probe_not_full_tfe,,2,9.69589047e-01,9.4524703156033387e-06,2.3564815933178949e-03,2.5314477438528170e-16,2.5348050959299080e-16,2.0799148964821311e-12,1.7225917433387130e-10,2.0951264848315668e-12,1.5705138199902718e-10,8.3628869812418023e-11,7.2389069486573811e-10,8.3834172876259708e-11,2.1922478601993854e-12,2.1922478651160064e-12,1.3588824688894932e-16,9.2470393990289526e-17,1.4094166058512357e-16,2.2392076604408329e-23,8.3992179130169856e-17,13,7,1.8935248325022167e+00,2.6833716243077461e+00,4.9309054154939549e+00,5.7925106798644155e+00,7.4014573250251381e-01,True,True,True,False,"Newton solves a square endpoint-node residual whose 132 stage rows are the quadrature-weighted Gauss6 rows plus the endpoint-boundary non-equivalent probe. This proves the probe can be placed inside a solved residual, but the probe is still a heuristic boundary-correction term rather than a derived full TFE weak stage functional."
cylindrical_sharp,0.02,0.005,0.08,solved_non_equivalent_stage_probe_not_full_tfe,,4,2.16560001e+00,1.5446337463697318e-06,5.5985060522095156e-04,6.6043485043818667e-16,1.4203204951173325e-16,1.1003854510954337e-13,1.7070822201432627e-11,8.1094965237521292e-14,1.5262502731984497e-11,5.3490229996325011e-12,6.5511139061750035e-11,5.3489195250497943e-12,8.8891971742814198e-16,9.0899689035446493e-16,7.7491691696081361e-17,2.8956887723165409e-17,7.8748901518454480e-17,5.9902446057058724e-27,1.7290371063454892e-16,25,7,1.8935248325022167e+00,2.6833716243077461e+00,4.9309054154939549e+00,5.7925106798644155e+00,7.4014573250251381e-01,True,True,True,False,"Newton solves a square endpoint-node residual whose 132 stage rows are the quadrature-weighted Gauss6 rows plus the endpoint-boundary non-equivalent probe. This proves the probe can be placed inside a solved residual, but the probe is still a heuristic boundary-correction term rather than a derived full TFE weak stage functional."
cylindrical_sharp,0.01,0.005,0.08,solved_non_equivalent_stage_probe_not_full_tfe,,8,6.18712758e+00,6.8474643198483066e-07,5.7110157113471803e-05,7.0235517467086625e-16,2.8284010289033238e-16,4.4656548192357668e-15,5.8823884811503499e-13,3.2745377186999606e-15,4.6149832355137486e-13,8.9998145152417034e-14,1.5589582268941633e-12,9.0099050071979339e-14,7.1359323658652484e-16,7.2393991740666504e-16,4.7616123811306713e-17,2.3191262611827195e-17,5.0515801820236225e-17,1.7619820604376510e-27,1.3529822597143507e-16,49,7,1.8935248325022167e+00,2.6833716243077461e+00,4.9309054154939549e+00,5.7925106798644155e+00,7.4014573250251381e-01,True,True,True,False,"Newton solves a square endpoint-node residual whose 132 stage rows are the quadrature-weighted Gauss6 rows plus the endpoint-boundary non-equivalent probe. This proves the probe can be placed inside a solved residual, but the probe is still a heuristic boundary-correction term rather than a derived full TFE weak stage functional."
