case,h,reference_h,t_final,status,error_message,runtime_sec,position_error,velocity_error,accepted_steps,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,total_newton_iterations,position_observed_order_all,velocity_observed_order_all,position_tail_order,velocity_tail_order,velocity_error_reduction_vs_h001,runtime_factor_vs_h001,notes
cylindrical_sharp,0.02,0.0025,0.08,mixed_tail_recovery_position_limited,,1.03246555e-01,1.5608526242178383e-06,5.5998539083403521e-04,4,9.3781198224608634e-14,1.8690986808578665e-16,25,3.2938836011683024e+00,5.8669448290540407e+00,5.3644756566181231e+00,8.4368172869697311e+00,1.0173779444628539e-01,5.6299010511581249e-01,Fixed projected dense Gauss6 refinement audit for the sharp Brown-McPhee case. The tail order uses h=0.01 to h=0.005 against the h=0.0025 reference and directly tests whether simple global refinement enters a high-order asymptotic regime.
cylindrical_sharp,0.01,0.0025,0.08,mixed_tail_recovery_position_limited,,1.83389644e-01,6.6852007031817765e-07,5.6971678585595857e-05,8,3.1220459372221449e-15,1.7905702219492236e-14,48,3.2938836011683024e+00,5.8669448290540407e+00,5.3644756566181231e+00,8.4368172869697311e+00,1.0000000000000000e+00,1.0000000000000000e+00,Fixed projected dense Gauss6 refinement audit for the sharp Brown-McPhee case. The tail order uses h=0.01 to h=0.005 against the h=0.0025 reference and directly tests whether simple global refinement enters a high-order asymptotic regime.
cylindrical_sharp,0.005,0.0025,0.08,mixed_tail_recovery_position_limited,,3.85384519e-01,1.6227303786577265e-08,1.6440837777992307e-07,16,8.7116308385243110e-16,2.5257935885232340e-15,96,3.2938836011683024e+00,5.8669448290540407e+00,5.3644756566181231e+00,8.4368172869697311e+00,3.4652539824861054e+02,2.1014519170774930e+00,Fixed projected dense Gauss6 refinement audit for the sharp Brown-McPhee case. The tail order uses h=0.01 to h=0.005 against the h=0.0025 reference and directly tests whether simple global refinement enters a high-order asymptotic regime.
