model,mapping_scope,method,h,reference,reference_h,t_final,status,error_message,steps,runtime_sec,reference_runtime_sec,pos_traj_linf,pos_traj_l2,pos_final_linf,pos_final_l2,vel_traj_linf,vel_traj_l2,vel_final_linf,vel_final_l2,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,total_newton_iterations,pos_observed_order_vs_v046,vel_observed_order_vs_v046,notes
double_pendulum,diagnostic_v029_fullva_vs_v046_ra,double_revolute_gauss6_fullva,0.04,v046_rA_dynamics,0.001,0.2,ok,,5,3.59846027e+00,1.48671001e-01,1.1745340654805148e-03,1.9500768659125277e-03,1.1745340654805148e-03,1.3137978030177207e-03,2.9359311648491371e-05,3.6822974137055710e-05,2.9359311648491371e-05,3.3823998003674552e-05,7.0343306680859339e-13,8.3229405209894879e-12,20,-1.2750878352782903e-08,2.0233563324952586e-07,"Direct trajectory diagnostic after rotating the v029 ASME-coordinate convention back to the v046 rA world frame. The comparison is present but not accepted as validation because the error is nearly h-independent over the tested range, consistent with an rA/reference or convention mismatch that still needs investigation."
double_pendulum,diagnostic_v029_fullva_vs_v046_ra,double_revolute_gauss6_fullva,0.02,v046_rA_dynamics,0.001,0.2,ok,,10,2.31313482e+00,1.48671001e-01,1.1745340859219411e-03,2.5800907628437276e-03,1.1745340859219411e-03,1.3137978259857824e-03,2.9359303531872882e-05,4.3807431437321154e-05,2.9359303531872882e-05,3.3823990666306528e-05,1.0660751589874130e-14,1.3249851148652239e-13,40,-1.2750878352782903e-08,2.0233563324952586e-07,"Direct trajectory diagnostic after rotating the v029 ASME-coordinate convention back to the v046 rA world frame. The comparison is present but not accepted as validation because the error is nearly h-independent over the tested range, consistent with an rA/reference or convention mismatch that still needs investigation."
double_pendulum,diagnostic_v029_fullva_vs_v046_ra,double_revolute_gauss6_fullva,0.01,v046_rA_dynamics,0.001,0.2,ok,,20,2.71040412e+00,1.48671001e-01,1.1745340862421294e-03,3.5224793397655371e-03,1.1745340862421294e-03,1.3137978263454931e-03,2.9359303413301063e-05,5.6150434097672924e-05,2.9359303413301063e-05,3.3823990555305631e-05,1.2079957769190620e-15,2.6875965580699068e-14,60,-1.2750878352782903e-08,2.0233563324952586e-07,"Direct trajectory diagnostic after rotating the v029 ASME-coordinate convention back to the v046 rA world frame. The comparison is present but not accepted as validation because the error is nearly h-independent over the tested range, consistent with an rA/reference or convention mismatch that still needs investigation."
