model,mapping_scope,method,h,t_final,status,error_message,steps,runtime_sec,max_trans_dynamics_residual,max_rot_dynamics_residual,max_pivot_constraint_norm,max_axis_constraint_norm,max_drive_constraint_abs,max_pivot_force_norm,max_axis_multiplier_norm,max_drive_multiplier_abs,notes
single_pendulum,exact_driven_reaction_reconstruction,analytic_drive_newton_euler_multipliers,0.2,0.2,ok,,1,6.04790985e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.3431673313846011e+02,0.0000000000000000e+00,3.1795149912162543e+02,"Newton-Euler reaction reconstruction on the exact ASME driven single-pendulum trajectory. This computes pivot reactions, axis multipliers, and the drive multiplier; it is a reaction-dynamics check but not yet an in-residual FullVA Newton solve."
single_pendulum,exact_driven_reaction_reconstruction,analytic_drive_newton_euler_multipliers,0.1,0.2,ok,,2,5.25242067e-04,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.3431673313846011e+02,0.0000000000000000e+00,3.1795149912162543e+02,"Newton-Euler reaction reconstruction on the exact ASME driven single-pendulum trajectory. This computes pivot reactions, axis multipliers, and the drive multiplier; it is a reaction-dynamics check but not yet an in-residual FullVA Newton solve."
single_pendulum,exact_driven_reaction_reconstruction,analytic_drive_newton_euler_multipliers,0.05,0.2,ok,,4,9.09563038e-04,5.6843418860808015e-14,2.8421709430404007e-14,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.3431673313846011e+02,0.0000000000000000e+00,3.1795149912162543e+02,"Newton-Euler reaction reconstruction on the exact ASME driven single-pendulum trajectory. This computes pivot reactions, axis multipliers, and the drive multiplier; it is a reaction-dynamics check but not yet an in-residual FullVA Newton solve."
