case,solver,pattern_source,h,status,error_message,steps,runtime_sec,pattern_build_sec,dense_validation_pattern_sec,total_newton_iterations,total_linear_solves,total_jacobian_assemblies,total_residual_eval_sec,total_jacobian_eval_sec,total_linear_solve_sec,avg_jacobian_eval_sec,avg_linear_solve_sec,pattern_nnz,pattern_density,colors,pattern_missing_vs_dense,pattern_extra_vs_dense,orientation_error_vs_dense_rad,omega_error_vs_dense,max_linear_residual_norm,max_endpoint_constraint_norm,max_endpoint_velocity_constraint_norm,max_stage_pivot_acceleration_constraint_norm,max_stage_axis_acceleration_constraint_norm,max_quaternion_unit_error
skew_axis_smooth,dense_jacfwd_csr,dense,0.01,ok,,3,9.43805250e-02,0.00000000e+00,1.38674574e+00,12,9,9,1.6088421980384737e-02,3.4580213017761707e-02,6.1067530186846852e-03,3.8422458908624118e-03,6.7852811318718724e-04,2181,5.0899670937478124e-02,31,0,0,0.0000000000000000e+00,0.0000000000000000e+00,1.0764315817007810e-13,7.9917055646189211e-16,4.4513922307269420e-16,1.2687364767826500e-15,1.1308520718625628e-15,0.0000000000000000e+00
skew_axis_smooth,generated_block_jvp_pruned,generated_block_jvp_pruned,0.01,ok,,3,4.77580950e-02,5.40938622e+00,1.38674574e+00,12,9,9,5.6639778777025640e-03,2.2642639989499003e-02,3.5018050111830235e-03,2.5158488877221113e-03,3.8908944568700262e-04,2181,5.0899670937478124e-02,31,0,0,0.0000000000000000e+00,2.8609792490763984e-17,1.2139937707899517e-13,7.9917055646189211e-16,4.2603370468622073e-16,1.1738477821992085e-15,8.3946615105294986e-16,0.0000000000000000e+00
skew_axis_sharp,dense_jacfwd_csr,dense,0.01,ok,,3,9.86969280e-02,0.00000000e+00,1.37885461e+00,12,9,9,1.7010394891258329e-02,3.3672168035991490e-02,8.2989379297941923e-03,3.7413520039990544e-03,9.2210421442157694e-04,2181,5.0899670937478124e-02,31,0,0,0.0000000000000000e+00,0.0000000000000000e+00,1.4392149327427387e-13,7.2317286634363616e-16,1.7268382596067602e-16,8.4641274216719929e-16,9.1249163694900419e-16,0.0000000000000000e+00
skew_axis_sharp,generated_block_jvp_pruned,generated_block_jvp_pruned,0.01,ok,,3,5.08886110e-02,5.08493270e-02,1.37885461e+00,12,9,9,4.3749179458245635e-03,2.4120959104038775e-02,3.7384419119916856e-03,2.6801065671154195e-03,4.1538243466574285e-04,2181,5.0899670937478124e-02,31,0,0,0.0000000000000000e+00,8.4415287680803243e-17,1.0058295655562744e-13,7.2317286634363616e-16,1.9878352001599515e-16,7.7406045957496501e-16,6.5633664829121215e-16,0.0000000000000000e+00
